name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
InfoMEDRx,coming soon,"InfoMEDRx plans to creat a network of doctors worldwide who will provide information medicine services in a live consultative format leveraging collaboration technology developed by us, for less than the price of a copay in the US. ",,true,,,"undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 
",," Financial management , B2B Decision Support Analytics, B2B--Administrative Tools, Other, "
RelativeHealth,www.relativehealth.org,"Relative Health is a Medicare  health plan shopping service. They provide customers with free, simple, and effective services to find the right health coverage.",,true,,,"undergrad-edu: 
last-name: Robinson
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: John
email: 
",," Financial management , "
AARP Doughnut Hole Calculator,www.aarp.org/doughnuthole,"One of the AARP......s goals is to help people afford their prescription medications. To this end, the AARP funded a partnership with DestinationRx to produce a free online .....Doughnut Hole Calculator"" for caregivers and patients to use to determine if they'll fall in the coverage gap, referred to as the ""doughnut hole"", in Medicare Part D. The online tool allows the user/patient/caregiver to enter in their zip code, select which part D plan they're enrolled in, enter in their medications, and find out whether/when they'll hit the gap. ",,false,"date: 2010-08-02
partnership: 
description: test
name: 
",,,," Financial management , "
OutofPocket,www.outofpocket.com,"OutofPocket is an online resource to help consumers look-up prices and find the best value for routine health care services.  The website relies on consumer collaboration to collect and share true prices consumers paid for health care services, along with personal recommendations on the provider.  ",,true,,,"undergrad-edu: 
last-name: Lori
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Principal
first-name: Mona
email: 

undergrad-edu: 
last-name: Lori
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Principal
first-name: Mona
email: 

undergrad-edu: 
last-name: Lori
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Principal
first-name: Mona
email: 

undergrad-edu: 
last-name: Lori
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Principal
first-name: Mona
email: 

undergrad-edu: 
last-name: Lori
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Principal
first-name: Mona
email: 
",,"Provider Search,  Financial management , "
Smart Medical Consumer,www.smartmedicalconsumer.com,"Smart Medical Consumer is an intelligent web-based service for consumers to manage their medical expenses, with break through features including automatic detection of medical billing mistakes.",,true,,,"undergrad-edu: 
last-name: Ozden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder, CEO
first-name: Banu
email: 

undergrad-edu: 
last-name: Ozden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder, CEO
first-name: Banu
email: 
",," Financial management , "
InTouch Technology,www.intouchtechnology.com,Web applications for Fitness Clubs. Delivers on-demand personalized health and fitness programs.  ,,true,,,"undergrad-edu: 
last-name: Johnston
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Scott
email: 

undergrad-edu: 
last-name: Johnston
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Scott
email: 
",," Financial management , B2B--Administrative Tools, B2B--Revenue Collection , "
HealthyWage,www.healthywage.com,HealthyWage is a provider of health and wellness incentive programs for corporations to reward employees who make healthy choices.,,true,,,"undergrad-edu: 
last-name: Roddenberry
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder
first-name: David
email: 

undergrad-edu: 
last-name: Roddenberry
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder
first-name: David
email: 
",," Financial management , Wellness, Patient/Consumer Communities, Search, Content, Provider Search, Gaming, "
GiveForward,www.giveforward.org,"GiveForward provides personal fundraising pages to raise money for loved ones' medical expenses like cancer treatments and organ transplants.    Basically, we make it VERY easy for people from all around the world to contribute online to their friends and family members' health.  Here is an example of a recent page that raised over $80,000 for a cancer treatment in just over 3 weeks time.  http:www.giveforward.org/johan  Here are some user testimonials from our users  http:www.giveforward.org/blog/testimonials-from-some-of-our-loving-users  The Chicago Tribune has called us ""the future of medical fundraising in the Internet Age.""  In little over a year, we have helped people raise $1,000,000 to pay for life-saving medical procedures and cancer treatments. I lost my dad to colon cancer when I was 13.  It's something I have been passionate ever since.   I run marathons in a banana costume to fight cancer.    http:www.youthnoise.com/playcity/blog/view/19384  I failed the CA bar the first time I took it.  For a year, I was the top rated author at a humor website called Guidespot  http:www.guidespot.com/authors/elguapo  I am a burrito eating champion.  My favorite ""sporting event"" in the world is Bay to Breakers.  I'm deathly afraid of pigeons.  I would be a super-interesting speaker at your event ",,false,,,"undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: co-founder and second banana
first-name: Ethan
email: 

undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: co-founder and second banana
first-name: Ethan
email: 

undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder and 2nd Banana
first-name: Ethan
email: 

undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: co-founder and second banana
first-name: Ethan
email: 

undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder and 2nd Banana
first-name: Ethan
email: 
",,"Patient/Consumer Communities, Search,  Financial management , "
ENURGI,www.enurgi.com,"With a database of over 1.5 million licensed caregivers, ENURGI is a  web-based healthcare services company that connects families and patients in need with local caregivers across the country. ENURGI enables patients, family members and caregivers to independently manage the care process through on-line scheduling, instant messaging, referral and direct payment transactions. ENURGI was purchased by Univita in 2009.",,true,,,"undergrad-edu: 
last-name: Bell
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Chiara
email: 
",,"Provider Search, Patient-provider communication,  Financial management , "
bWell International,www.bwell-inc.com,"bWell uses tools that associate personal health risk (derived from an online Health Risk Assessment) with long term health care cost (derived from historical claims data.) By making the health/wealth connection, bWell helps consumers achieve greater value and savings of their healthcare dollars.",,true,,,"undergrad-edu: 
last-name: Micali
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Phil
email: 
",," Financial management , "
