name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Bazian,www.bazian.com,"Bazian has worked with a wide range of clients in the UK NHS to bring robust evidence and expertise to pathway and service design, business cases and purchasing decisions.Bazian has also supplied high volumes of evidence-based analyses and care pathways to point of care tools and journals, including Clinical Evidence, The Map of Medicine, Evidence-based Mental Health, Evidence-based Nursing, and Evidence-based medicine. ",,true,,,"undergrad-edu: 
last-name: Donald
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: Tom
email: 

undergrad-edu: 
last-name: Donald
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: Tom
email: 
",,"Content, B2B Decision Support Analytics, "
Healthji,www.healthji.com,Healthji is a Health 2.0 Portal which focuses on the Global Indian Community. The B2B model focuses on Corporate Wellness and Prevention while the B2C model gives a wealth of Health related content including various assessments and tools.,,false,,,"undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Avinash
email: 
",,"Personal health assessments , Self Management tools , Wellness, B2B Decision Support Analytics, B2B--Administrative Tools, Professional Knowledge Exchanges, Personal health assessments , Self Management tools , Wellness, B2B--Administrative Tools, Content, Content, Personal health assessments , Self Management tools , Wellness, Content, Wellness, Personal health assessments , Self Management tools , "
HealthAlly,www.health-ally.com,"HealthAlly is a health and wellness based online community that provides its Members with what they need to maintain and improve their physical, mental and financial health. Its platform offers the information and tools with incentives and healthy rewards for achieving quantifiable goals that affect members...... short and long term wellness.HealthAlly’s Wellness eXchange delivers daily health, fitness, diet, wellness information and ongoing financial rewards using the latest mobile and web technologies in ways that fit its Members’ busy lifestyles.",,false,,,"undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 
",,"Content, Personal health assessments , Self Management tools , Wellness, Coaching and Advisory Services, B2B Decision Support Analytics, "
InfoMEDRx,coming soon,"InfoMEDRx plans to creat a network of doctors worldwide who will provide information medicine services in a live consultative format leveraging collaboration technology developed by us, for less than the price of a copay in the US. ",,true,,,"undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 
",," Financial management , B2B Decision Support Analytics, B2B--Administrative Tools, Other, "
PharmaStats,www.pharmastats.com,"PharmaStats database has been providing innovative pharmaceutical companies with unique insight into the prescribing behavior of group practices, hospitals, and health systems for over five years. The focus of PharmaStats is in two areas. First, a health care provider search and rating service for consumers. The second focus is for sales people to gain a better understanding of relationships through the viewing of affiliations between health care provider and health care organizations (hospitals, group practices, etc.)",,true,,,"undergrad-edu: 
last-name: Schott
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Jeffrey
email: 

undergrad-edu: 
last-name: Schott
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Jeffrey
email: 
",,"Provider Search, B2B Decision Support Analytics, "
360Fresh,www.360fresh.com,360Fresh provides patent-pending text-mining and analytics software that transform data from EMRs into insight and actionable intervention points.,,true,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"B2B Decision Support Analytics, "
Active Health Management,www.activehealthmanagement.com/,"Active Health Management provides health management services, including disease management, clinical decision support and personal health records. The company......s solutions are all based on its patented CareEngine® System which analyzes medical and pharmacy claims and lab results. Bought by Aetna in 2005. ",,true,,,"undergrad-edu: 
last-name: Reisman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Lonny
email: 
",,"Self Management tools , Patient-provider communication, B2B Decision Support Analytics, "
Anvita Health,www.anvitahealth.com,"Founded by physicians in 2000, Anvita Health (formerly Safemed) provides innovative health care analytics to its customers who, in aggregate, manage more than 50 million lives. Anvita Health......s analysis engine and custom analytics solutions are used by point-of-care informat",,true,,,"undergrad-edu: 
last-name: afdhdfhfgsd
founder: false
other-edu: 
personnel: 
grad-edu: hfd
previous-title: 
current-title: fhgfh
first-name: asdggdsg
email: 
",,"B2B Decision Support Analytics, "
Benchmark Revenue,http:www.benchmarkrevenue.com,"Benchmark delivers cloud-based  administrative workflow, revenue analysis, management, and monitoring tools for hospital front and back office functions.",,true,,,"undergrad-edu: 
last-name: McDowell
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Tyson
email: 
",,"B2B--Revenue Collection , B2B Decision Support Analytics, "
HealthLat,www.healthlat.com,"HealthLat provides an online marketplace for observations of adverse side effects, efficacy, and off-label uses reported by physicians. ",,true,,,"undergrad-edu: 
last-name: Chen
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Johnson
email: 

undergrad-edu: 
last-name: Chen
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Johnson
email: 

undergrad-edu: 
last-name: Chen
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Johnson
email: 
",,"B2B Decision Support Analytics, Professional Knowledge Exchanges, "
