name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Allviant,www.allviant.com,"Allviant is the developer of the Allviant Service Relationship Management (SRM) platform and the first-ever consumer-centric SRM collection of tools and applications for healthcare called CarePass.The CarePass Virtual Waiting Room  allows you to confirm and check-in to your appointments anywhere. When your Provider is ready to see you, you will receive a notification via any method you choose, whether it......s text messaging, email or automated voice call. With CarePass, you can wait for your appointment anywhere BUT the waiting room.",,true,,"date-launched: 
product: 
description: 
name:  Allviant Service Relationship Management (SRM) platform

date-launched: 
product: 
description: 
name: CarePass
","undergrad-edu: 
last-name: Crapo
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder and Chief Architect/Technology
first-name: Jared
email: 

undergrad-edu: 
last-name: Myers
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder 
first-name: Lilian
email: 

undergrad-edu: 
last-name: McHale
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP of Business Development
first-name: Tom
email: 

undergrad-edu: 
last-name: Meyerowitz
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Products
first-name: Jordan
email: 

undergrad-edu: 
last-name: Crapo
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director, Product Management
first-name: Jared
email: 

undergrad-edu: 
last-name: Myers
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder & CEO
first-name: Lilian
email: 
",,"B2B--Administrative Tools, Patient-provider communication, "
Burnbridge,still under the radar!,"SaaS based patient education including discharge instructions and prescriptions. Services are offered free to physicians, with a separate patient portal to retrieve personalized health info, related commerce offerings, and tie-ins to PHRs.",,false,,,"undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 

undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 

undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 

undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 

undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 

undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 

undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 
",,"Content, B2B--Administrative Tools, "
Healthji,www.healthji.com,Healthji is a Health 2.0 Portal which focuses on the Global Indian Community. The B2B model focuses on Corporate Wellness and Prevention while the B2C model gives a wealth of Health related content including various assessments and tools.,,false,,,"undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Avinash
email: 
",,"Personal health assessments , Self Management tools , Wellness, B2B Decision Support Analytics, B2B--Administrative Tools, Professional Knowledge Exchanges, Personal health assessments , Self Management tools , Wellness, B2B--Administrative Tools, Content, Content, Personal health assessments , Self Management tools , Wellness, Content, Wellness, Personal health assessments , Self Management tools , "
Healthji,www.healthji.com,Healthji is a Health 2.0 Portal which focuses on the Global Indian Community. The B2B model focuses on Corporate Wellness and Prevention while the B2C model gives a wealth of Health related content including various assessments and tools.,,false,,,"undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Avinash
email: 
",,"Personal health assessments , Self Management tools , Wellness, B2B Decision Support Analytics, B2B--Administrative Tools, Professional Knowledge Exchanges, Personal health assessments , Self Management tools , Wellness, B2B--Administrative Tools, Content, Content, Personal health assessments , Self Management tools , Wellness, Content, Wellness, Personal health assessments , Self Management tools , "
Health Intelligence Systems,www.hisdata.com,"Health Intelligence Systems, Inc. is a technology company, which offers retail pharmacies an automated billing and reimbursement monitoring solution, designed to increase pharmacy revenues and profits by identifying all underpaid claims.  ",,true,,,"undergrad-edu: 
last-name: Heffner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Carl
email: 

undergrad-edu: 
last-name: Heffner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Carl
email: 

undergrad-edu: 
last-name: Heffner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Carl
email: 

undergrad-edu: 
last-name: Heffner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Carl
email: 

undergrad-edu: 
last-name: Heffner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Carl
email: 

undergrad-edu: 
last-name: Heffner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Carl
email: 
",,"B2B--Administrative Tools, B2B--Revenue Collection , "
iNetFrame Solutions,www.inetframesolutions.com,"iNetFrame Solutions is a growing IT solution provider based in Bangalore, India. iNetFrame has been bringing innovative product-based solutions in the area of Human Resource Management and Compliance Management.In addition, iNetFrame offers custom ERP solutions to industries where a packaged ERP solution is not available or found to be ineffective. Such custom ERP solutions are based on iNetFrame......s framework of ERP components that are customized and assembled for specific industry.",,false,,,"undergrad-edu: 
last-name: Kumar
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Sudheendra
email: 

undergrad-edu: 
last-name: Kumar
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Sudheendra
email: 

undergrad-edu: 
last-name: Kumar
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Sudheendra
email: 

undergrad-edu: 
last-name: Kumar
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Sudheendra
email: 

undergrad-edu: 
last-name: Kumar
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Sudheendra
email: 

undergrad-edu: 
last-name: Kumar
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Sudheendra
email: 
",,"B2B--Administrative Tools, Consultant/Tech Services, "
InfoMEDRx,coming soon,"InfoMEDRx plans to creat a network of doctors worldwide who will provide information medicine services in a live consultative format leveraging collaboration technology developed by us, for less than the price of a copay in the US. ",,true,,,"undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 
",," Financial management , B2B Decision Support Analytics, B2B--Administrative Tools, Other, "
Instera,www.instera.com,"Instera will operate an open, synergistic and complete electronics-enabled medical solution for independent medical practices and patients that delivers secure communications and integrates across networks, applications, data sources and emerging technologies. ",,true,,,"undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Robert
email: 
",,"Patient/Consumer Communities, Search, Provider Search, Personal health assessments , Self Management tools , B2B--Administrative Tools, Data Utility Layer, "
MyHealthCommunity,www.myhealthcommunity.net,"MyHealthCommunity provides an integrated suite of the latest Web 2.0 interactive tools, a full-featured administrator console, and an open architecture that opens new channels of communications for everyone.  Members include physicians, nurses, IT, staff and patients, allowing for individual communities within the larger community that can be private or open.",,true,,,"undergrad-edu: 
last-name: Wasilisian
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP of Operations & Product Management
first-name: Diane
email: 

undergrad-edu: 
last-name: Wasilisian
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP of Operations & Product Management
first-name: Diane
email: 
",,"Consultant/Tech Services, B2B--Administrative Tools, "
No Insurance Club,www.noinsuranceclub.com,"No Insurance Club provides tools to primary care physicians to eliminate billers, coders, collectors and denial of claims. It provides primary care physicians a platform to run a cash business model without closing their reimbursement business. The dashboard tracks visits, clears payments and uploads information to the existing CRM or accounting system.",,true,,,"undergrad-edu: 
last-name: Harris
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Chad
email: 

undergrad-edu: 
last-name: Harris
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Chad
email: 
",,"B2B--Administrative Tools, B2B--Revenue Collection , "
Vocera Communications,http:www.vocera.com,"The Vocera® communications system allows mobile workers to instantly communicate with each other, hands free, whether down the hall or across campus, using simple spoken commands. This easy-to-use wireless voice system is used extensively in hospitals.",,true,,,"undergrad-edu: 
last-name: Lang
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President and Chief Operating Officer
first-name: Brent
email: 

undergrad-edu: 
last-name: Lang
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President and Chief Operating Officer
first-name: Brent
email: 
",,"B2B--Administrative Tools, "
Warm Health,www.warmhealth.com,"Warm Health is a technology company with a proprietary interactive communications system to develop and deliver compelling programs that help engage, educate, motivate and maintain healthy lifestyles.  They provide people with personal and timely health information from respected sources that is delivered in the most practical, cost-effective manner.The Warm Health patented CommuniCare™ system is a platform  for the rapid development and delivery of automated programs. It provides people with personal and timely health information from respected sources that is delivered in the most practical, cost-effective manner including voice-recorded, IVR, ,,,,, email.",,true,,,"undergrad-edu: 
last-name: Montague
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: John
email: 

undergrad-edu: 
last-name: Montague
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: John
email: 
",,"Coaching and Advisory Services, B2B--Administrative Tools, "
Alensa,www.nextwidgets.com,"Along with showing a micropayment system for blogs, Alensa AG provides a  distributed e-commerce application (www.nextwidgets.com).The company’s product creates fully transactional banners for websites and facebook pages that enables anyone to integrate their online retail store into a banner.",,true,,,"undergrad-edu: 
last-name: Savic
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Alex
email: 
",,"B2B--Administrative Tools, "
Aptilon,www.aptilon.com,Technology for online pharmaceutical marketing to physicians.,,true,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 

undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"B2B--Administrative Tools, "
Benefit Focus,www.benefitfocus.com,"Benefitfocus provides employers, insurance carriers and consumers a single Web-based platform for shopping, enrolling, managing and exchanging benefit information",,true,,,"undergrad-edu: 
last-name: Jenkins
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Shawn
email: 
",,"B2B--Administrative Tools, "
RedBrick Health,www.redbrickhealth.com,"RedBrick Health......s Health Earnings  System delivers an integrated approach to wellness, financing and advocacy. It's sold to employers and allows employees to gain rewards for healthier behaviors.",,true,,,"undergrad-edu: 
last-name: Scholl
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Corporate Development Director
first-name: Matt
email: 

undergrad-edu: 
last-name: Scholl
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Corporate Development Director
first-name: Matt
email: 
",,"Self Management tools , Wellness, B2B--Administrative Tools, "
TheraSim,www.therasim.com,"TheraSim is a software that combines patient simulation, e-learning and analytics to change and improve physician behavior. TheraSim is focused on pharmaceutical education, professional online simulation tools, in clinic training and analytics.",,true,,,"undergrad-edu: 
last-name: Cervenka
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO/CFO
first-name: Gordon
email: 

undergrad-edu: 
last-name: Cervenka
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO/CFO
first-name: Gordon
email: 

undergrad-edu: 
last-name: Hadden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO and Founder
first-name: David
email: 
",,"B2B--Administrative Tools, Content, "
VSONA,www.vsona.com,"VSONA creates  highly interactive video (and audio) Q,,,,,A......s for doctors to communicate with their patients online. Company also does online reputation management.",,true,,,"undergrad-edu: 
last-name: Coats
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Product Officer
first-name: Bill
email: 

undergrad-edu: 
last-name: Coats
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Product Officer
first-name: Bill
email: 
",,"Content, B2B--Administrative Tools, "
InTouch Technology,www.intouchtechnology.com,Web applications for Fitness Clubs. Delivers on-demand personalized health and fitness programs.  ,,true,,,"undergrad-edu: 
last-name: Johnston
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Scott
email: 

undergrad-edu: 
last-name: Johnston
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Scott
email: 
",," Financial management , B2B--Administrative Tools, B2B--Revenue Collection , "
Presidio Health,presidiohealth.com,"Presidio Health provides real time web based revenue systems for providers and consumers including patient payment capture, verification of patient eligibility, optimization of all of patient data and document workflow needed for coding and billing, all in one system.",,true,,,"undergrad-edu: 
last-name: Evans
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Douglas
email: 
",,"B2B--Administrative Tools, B2B--Revenue Collection , "
CoverMyMeds,www.covermymeds.com,"CoverMyMeds...... web-based service helps physicians and pharmacists complete Prior Authorization and other insurance coverage determination forms for most drug plans, and for any drug.  ",,true,,,"undergrad-edu: 
last-name: Scantland
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Principal and Co-Founder
first-name: Matt
email: 

undergrad-edu: 
last-name: Scantland
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Principal and Co-Founder
first-name: Matt
email: 

undergrad-edu: 
last-name: Scantland
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder and Principal
first-name: Matt
email: 
",,"B2B--Administrative Tools, "
Intercomponentware AG,www.icw-global.com,"Intercomponentware AG´s network existing systems, make seamless communication across sector boundaries possible. With their eHealth solutions, administrative and medical processes in the health care sector can be connected with each other to the benefit of everyone involved. The company is based in Germany.",,true,,,"undergrad-edu: 
last-name: Golden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Richard
email: 

undergrad-edu: 
last-name: Golden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Richard
email: 

undergrad-edu: 
last-name: Golden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Richard
email: 

undergrad-edu: 
last-name: Odenwald
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Executive Vice President
first-name: Thomas
email: 
",,"Self Management tools , Data Utility Layer, B2B Decision Support Analytics, B2B--Administrative Tools, B2B--Clinician Workflow, Professional Knowledge Exchanges, "
Healthline Networks,www.healthline.com,"Healthline Networks powers intelligenthealth search, advertising and content services to a growing network of publishers,advertisers, destination sites and health plans. ",,true,,,"undergrad-edu: 
last-name: Shell
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: West 
email: 

undergrad-edu: 
last-name: Stephens
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President and COO
first-name: Dean
email: 
",,"Search, Content, Provider Search, Self Management tools , Personal health assessments , B2B Decision Support Analytics, B2B--Administrative Tools, Professional Knowledge Exchanges, Wellness, "
NHS Connecting for Health,www.connectingforhealth.nhs.uk,"HealthSpace is an online personal health organiser for individuals provided by England......s National Health Service that will enable patients to book appointments, order prescriptions, ask for reminders and links them to their live Summary Care Record.",,true,,,"undergrad-edu: 
last-name: Winfield
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director for Patients and Public
first-name: Marlene
email: 
",,"Self Management tools , Provider Search, B2B--Administrative Tools, Data Utility Layer, Content, "
Kryptiq,www.kryptiq.com,"Kryptiq provides a secure messaging platform for healthcare connectivity. EHR vendors and paper-based practices are using Kryptiq......s secure messaging platform to send referrals, lab results and more to colleagues, patients, and others.",,false,,,"undergrad-edu: 
last-name: Giles
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Strategic Programs Manager
first-name: Taylor
email: 
",,"Patient-provider communication, Data Utility Layer, Privacy and Identity, B2B--Administrative Tools, B2B--Revenue Collection , "
Sanovia,www.sanovia.com,"Sanovia deploys web-based technology deployed to provide cost effective pharmaceutical utilization management solution to improve cost control, increase productivity, automation of “best practice” clinical guidelines, with comprehensive data analytics.Sanovia......s products are being utilized by health plans servicing over 9MM patient lives address work flow efficiencies for physicians and ultimately provide a strong clinical support mechanism for consumers interested in self-care.",,true,,,"undergrad-edu: 
last-name: Ahmed
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CIO
first-name: Shabbir
email: 
",,"B2B--Administrative Tools, "
MEMOTEXT,www.memotext.com,"MEMOTEXT is an adherence and PRO application service provider. MEMOTEXT integrates behavior modification, patient education and live patient support into the everyday lives of patients via voice and SMS reminders to improve adherence and gather Patient Reported Outcomes (PROs).",,true,,,"undergrad-edu: 
last-name: Zavier
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: BDM
first-name: Elisha
email: 
",,"Self Management tools , B2B--Administrative Tools, "
