name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
MedAdherence,www.medadherence.com,MedAdherence provides a platform to manage and monitor patients adherence to prescribed medications.    ,,true,,,"undergrad-edu: 
last-name: Katz
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Jonathan
email: 

undergrad-edu: 
last-name: Katz
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Jonathan
email: 
",,"Coaching and Advisory Services, B2B--Clinician Workflow, "
AdminHealth,www.adminhealth.com,,,false,,,"undergrad-edu: 
last-name: Fernandez
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Alejandro
email: 

undergrad-edu: 
last-name: Fernandez
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Alejandro
email: 
",,"B2B--Clinician Workflow, B2B--Revenue Collection , "
Allscripts (NEPSI),http:www.nationalerx.com/,Allscripts is an outpatient EMR vendor. It provides its National ePrescribing Patient Safety Initiative (NEPSI)ePrescribing software for free on a SaaS basis.,,true,,,"undergrad-edu: 
last-name: Shapiro
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Lee
email: 

undergrad-edu: 
last-name: Tullman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Glen
email: 
",,"B2B--Clinician Workflow, "
athenahealth,www.athenahealth.com,"athenahealth is a publicly-traded provider of practice-management and revenue cycle management solutions (athenacollector). It also supplies an EMR solution (athenaclinicals) and a patient communication system (athenacommunicator), all based on its web based system, athenanet. ",,true,,,"undergrad-edu: 
last-name: Bush
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Jonathan
email: 

undergrad-edu: 
last-name: Kim
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Thomas
email: 
",,"B2B--Clinician Workflow, B2B--Revenue Collection , Patient-provider communication, "
mTuitive,www.mtuitive.com,"mTuitive, Inc. develops data capture and synoptic reporting software to assist health care professionals in recording clinical findings and maintaining compliance with established protocols and guidelines. ",,true,,,"undergrad-edu: 
last-name: Murphy
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP, Business Development
first-name: Colin
email: 

undergrad-edu: 
last-name: Murphy
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP, Business Development
first-name: Colin
email: 
",,"B2B--Clinician Workflow, "
MedCommons,www.medcommons.net,"MedCommons, a health records services provider, gives consumers direct access to their medical information via web browser or Web service APIs and allows an easy way to share this information with healthcare providers. Its product MedCommons® is a lightweight and easy to deploy platform for document management and medical imaging on the Web, available under license and as an On Demand Cloud Service. It is used by both doctors and patients.",,true,,,"undergrad-edu: 
last-name: Gropper
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CSO
first-name: Adrian
email: 

undergrad-edu: 
last-name: Gropper
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CSO
first-name: Adrian
email: 
",,"Self Management tools , Patient-provider communication, B2B--Clinician Workflow, "
Wellcentive,http:www.wellcentive.com,"Wellcentive offers preventive care and chronic disease management software systems, including a registry, patient outreach systems and a series of enterprise and community connect services.",,true,,,"undergrad-edu: 
last-name: Clifford
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: National Accounts Manager
first-name: Jim 
email: 
",,"Patient-provider communication, B2B Decision Support Analytics, B2B--Clinician Workflow, "
Remedy Ventures,www.remedyventures.com,Development shop that has created an interoperability platform built on the iPhone that can plug into existing software systems and provide them with a physician facing UI. First product is a comprehensive iPhone eRx application.,,true,,,"undergrad-edu: 
last-name: Wiggins
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Associate
first-name: Matt
email: 

undergrad-edu: 
last-name: Wiggins
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Associate
first-name: Matt
email: 
",,"B2B--Clinician Workflow, "
CareCloud,carecloud.com,CareCloud delivers a web-based practice and clinical management platform for small practices and larger doctor groups.,,true,,,"undergrad-edu: 
last-name: Cuesta
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Direactor of Marketing
first-name: Mike
email: 

undergrad-edu: 
last-name: Cuesta
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Direactor of Marketing
first-name: Mike
email: 

undergrad-edu: 
last-name: Cuesta
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Direactor of Marketing
first-name: Mike
email: 

undergrad-edu: 
last-name: Cuesta
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director of Marketing
first-name: Mike
email: 

undergrad-edu: 
last-name: Cuesta
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Direactor of Marketing
first-name: Mike
email: 

undergrad-edu: 
last-name: Cuesta
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director of Marketing
first-name: Mike
email: 
",,"B2B--Clinician Workflow, B2B--Revenue Collection , "
MedCodePIX,medcodepix.com,MedCode PIX provides medical code lookup tools for physicians using interactive anatomical images and a three click process.  An  intuitive interface allows for correct codes to be rapidly and  accurately located compared with traditional techniques. ,,true,,,"undergrad-edu: 
last-name: Voss
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: Alan
email: 

undergrad-edu: 
last-name: Voss
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: Alan
email: 

undergrad-edu: 
last-name: Voss
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: Alan
email: 
",,"B2B--Clinician Workflow, "
Intercomponentware AG,www.icw-global.com,"Intercomponentware AG´s network existing systems, make seamless communication across sector boundaries possible. With their eHealth solutions, administrative and medical processes in the health care sector can be connected with each other to the benefit of everyone involved. The company is based in Germany.",,true,,,"undergrad-edu: 
last-name: Golden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Richard
email: 

undergrad-edu: 
last-name: Golden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Richard
email: 

undergrad-edu: 
last-name: Golden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Richard
email: 

undergrad-edu: 
last-name: Odenwald
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Executive Vice President
first-name: Thomas
email: 
",,"Self Management tools , Data Utility Layer, B2B Decision Support Analytics, B2B--Administrative Tools, B2B--Clinician Workflow, Professional Knowledge Exchanges, "
