name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Health Intelligence Systems,www.hisdata.com,"Health Intelligence Systems, Inc. is a technology company, which offers retail pharmacies an automated billing and reimbursement monitoring solution, designed to increase pharmacy revenues and profits by identifying all underpaid claims.  ",,true,,,"undergrad-edu: 
last-name: Heffner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Carl
email: 

undergrad-edu: 
last-name: Heffner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Carl
email: 

undergrad-edu: 
last-name: Heffner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Carl
email: 

undergrad-edu: 
last-name: Heffner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Carl
email: 

undergrad-edu: 
last-name: Heffner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Carl
email: 

undergrad-edu: 
last-name: Heffner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Carl
email: 
",,"B2B--Administrative Tools, B2B--Revenue Collection , "
No Insurance Club,www.noinsuranceclub.com,"No Insurance Club provides tools to primary care physicians to eliminate billers, coders, collectors and denial of claims. It provides primary care physicians a platform to run a cash business model without closing their reimbursement business. The dashboard tracks visits, clears payments and uploads information to the existing CRM or accounting system.",,true,,,"undergrad-edu: 
last-name: Harris
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Chad
email: 

undergrad-edu: 
last-name: Harris
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Chad
email: 
",,"B2B--Administrative Tools, B2B--Revenue Collection , "
AdminHealth,www.adminhealth.com,,,false,,,"undergrad-edu: 
last-name: Fernandez
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Alejandro
email: 

undergrad-edu: 
last-name: Fernandez
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Alejandro
email: 
",,"B2B--Clinician Workflow, B2B--Revenue Collection , "
athenahealth,www.athenahealth.com,"athenahealth is a publicly-traded provider of practice-management and revenue cycle management solutions (athenacollector). It also supplies an EMR solution (athenaclinicals) and a patient communication system (athenacommunicator), all based on its web based system, athenanet. ",,true,,,"undergrad-edu: 
last-name: Bush
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Jonathan
email: 

undergrad-edu: 
last-name: Kim
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Thomas
email: 
",,"B2B--Clinician Workflow, B2B--Revenue Collection , Patient-provider communication, "
Benchmark Revenue,http:www.benchmarkrevenue.com,"Benchmark delivers cloud-based  administrative workflow, revenue analysis, management, and monitoring tools for hospital front and back office functions.",,true,,,"undergrad-edu: 
last-name: McDowell
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Tyson
email: 
",,"B2B--Revenue Collection , B2B Decision Support Analytics, "
MedFusion iHealth,medfusion.net/ihealth,"MedFusion......s iHealth service offers physicians and the healthcare industry a suite of integrated Web-based communication services to effectively engage patients in better managing their health. Medfusion's online solution helps patients communicate with their providers to schedule appointments, pay bills, request prescription refills, complete medical forms, review lab results and clinical summaries, receive reminders and exchange secure messages for related care and administrative issues. Data can be shared with EHR, health plan, pharmacy and other systems. iHealth also includes an online registration process. Medfusion was bought by Intuit in 2010.",,true,,,"undergrad-edu: 
last-name: Willett
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director of PR & Communications
first-name: Jason
email: 
",,"Patient-provider communication, B2B--Revenue Collection , "
Human Care Systems,www.humancaresystems.com/,"Human Care Systems makes web-based software systems which enable better care coordination, and Patient habit and lifestyle change. Tools include Habit Care which provides multiple platforms for the patient to engage and sustain their behavioral change. ,,,,, Community Care, a workflow engine to manage the scheduling, billing and accounts/receivables functions of practices.",,false,,,"undergrad-edu: 
last-name: Hall
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Matt
email: 
",,"Coaching and Advisory Services, B2B--Revenue Collection , "
InTouch Technology,www.intouchtechnology.com,Web applications for Fitness Clubs. Delivers on-demand personalized health and fitness programs.  ,,true,,,"undergrad-edu: 
last-name: Johnston
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Scott
email: 

undergrad-edu: 
last-name: Johnston
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Scott
email: 
",," Financial management , B2B--Administrative Tools, B2B--Revenue Collection , "
Presidio Health,presidiohealth.com,"Presidio Health provides real time web based revenue systems for providers and consumers including patient payment capture, verification of patient eligibility, optimization of all of patient data and document workflow needed for coding and billing, all in one system.",,true,,,"undergrad-edu: 
last-name: Evans
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Douglas
email: 
",,"B2B--Administrative Tools, B2B--Revenue Collection , "
Intermedix,http:www.intermedix.com,"Intermedix Corp., Fort Lauderdale, Fla., a developer of revenue-cycle management and other information technology systems for emergency health services providers.",,false,,,"undergrad-edu: 
last-name: Bonnard
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Mr
first-name: JC
email: 

undergrad-edu: 
last-name: Bonnard
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Mr
first-name: JC
email: 

undergrad-edu: 
last-name: Bonnard
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Mr
first-name: JC
email: 

undergrad-edu: 
last-name: Bonnard
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Mr
first-name: JC
email: 
",,"B2B--Revenue Collection , "
