name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
HealthAlly,www.health-ally.com,"HealthAlly is a health and wellness based online community that provides its Members with what they need to maintain and improve their physical, mental and financial health. Its platform offers the information and tools with incentives and healthy rewards for achieving quantifiable goals that affect members...... short and long term wellness.HealthAlly’s Wellness eXchange delivers daily health, fitness, diet, wellness information and ongoing financial rewards using the latest mobile and web technologies in ways that fit its Members’ busy lifestyles.",,false,,,"undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 
",,"Content, Personal health assessments , Self Management tools , Wellness, Coaching and Advisory Services, B2B Decision Support Analytics, "
Irehab,http:www.irehab.com/,Irehab.com is a web based exercise delivery system built for the medical professional and patient. Irehab provides a platform for the medical professional to deliver exercises and communicate with patients quickly and easily via the web. ,,true,,,"undergrad-edu: 
last-name: Krugh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 

undergrad-edu: 
last-name: Krugh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 

undergrad-edu: 
last-name: Krugh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 

undergrad-edu: 
last-name: Krugh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 

undergrad-edu: 
last-name: Krugh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 

undergrad-edu: 
last-name: Krugh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 
",,"Coaching and Advisory Services, Patient-provider communication, "
MedAdherence,www.medadherence.com,MedAdherence provides a platform to manage and monitor patients adherence to prescribed medications.    ,,true,,,"undergrad-edu: 
last-name: Katz
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Jonathan
email: 

undergrad-edu: 
last-name: Katz
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Jonathan
email: 
",,"Coaching and Advisory Services, B2B--Clinician Workflow, "
MiScale,miscale.com,"MiScale is integrating Web 2.0 software with weighing scales, and placing these kiosks in health clubs and other healthcare facilities. Information from the scales is synced with a centralized server providing users with a personalized computerized health coach.",,true,,,"undergrad-edu: 
last-name: Bernick
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CTO
first-name: David
email: 

undergrad-edu: 
last-name: Bernick
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CTO
first-name: David
email: 
",,"Personal health assessments , Self Management tools , Wellness, Coaching and Advisory Services, "
Olympus Health Wellness,olympushealthwellness.com,"Olympus Health Wellness is an online lifestyle management company that utilizes the motivating power of a personal trainer with exciting advances in 3D computer animation, multimedia portability and social networking combined with real time artificial intelligence to target major health risks such as obesity, stress, heart disease and asthma. ",,true,,,"undergrad-edu: 
last-name: Wold
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: David 
email: 

undergrad-edu: 
last-name: Wold
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: David 
email: 
",,"Self Management tools , Wellness, Coaching and Advisory Services, "
Warm Health,www.warmhealth.com,"Warm Health is a technology company with a proprietary interactive communications system to develop and deliver compelling programs that help engage, educate, motivate and maintain healthy lifestyles.  They provide people with personal and timely health information from respected sources that is delivered in the most practical, cost-effective manner.The Warm Health patented CommuniCare™ system is a platform  for the rapid development and delivery of automated programs. It provides people with personal and timely health information from respected sources that is delivered in the most practical, cost-effective manner including voice-recorded, IVR, ,,,,, email.",,true,,,"undergrad-edu: 
last-name: Montague
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: John
email: 

undergrad-edu: 
last-name: Montague
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: John
email: 
",,"Coaching and Advisory Services, B2B--Administrative Tools, "
Human Care Systems,www.humancaresystems.com/,"Human Care Systems makes web-based software systems which enable better care coordination, and Patient habit and lifestyle change. Tools include Habit Care which provides multiple platforms for the patient to engage and sustain their behavioral change. ,,,,, Community Care, a workflow engine to manage the scheduling, billing and accounts/receivables functions of practices.",,false,,,"undergrad-edu: 
last-name: Hall
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Matt
email: 
",,"Coaching and Advisory Services, B2B--Revenue Collection , "
CalorieKing,www.calorieking.com,"CalorieKing combines online diets, coaching and community for the treatment of obesity, and integrates them into systems that make possible the kind of healthcare team collaboration necessary to successfully treat a chronic recurring disease with multiple co-morbidities.",,true,,,"undergrad-edu: 
last-name: McGuinness
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 

undergrad-edu: 
last-name: McGuinness
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 
",,"Patient/Consumer Communities, Content, Self Management tools , Coaching and Advisory Services, "
Kinnexxus,www.kinnexxus.com,"Kinnexxus is a web-based service providing an easy-to-use communication and networking platform that creates a robust family support network, connecting seniors, friends and family, professional care providers, and the community in a secure, virtual Senior Ecosystem™",,true,,,"undergrad-edu: 
last-name: Dara-Abrams
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO and Chief Gerontechnology Officer
first-name: Benay
email: 

undergrad-edu: 
last-name: Pan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Medical Officer
first-name: Wayne
email: 

undergrad-edu: 
last-name: Dara-Abrams
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO and Chief Gerontechnology Officer
first-name: Benay
email: 
",,"Patient/Consumer Communities, Coaching and Advisory Services, "
Philips Directlife,www.philips.com/directlife,"Directlife is a physical activity web program to track, motivate and improve daily physical activity.  It contains an activity monitor and web coaching service integrated in one package. ",,true,,,"undergrad-edu: 
last-name: Brouwer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director Philips Directlife
first-name: Jeroen
email: 

undergrad-edu: 
last-name: Brouwer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director Philips Directlife
first-name: Jeroen
email: 
",,"Personal health assessments , Self Management tools , Coaching and Advisory Services, Wellness, "
