name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Argusoft,www.argusoft.com,"ArguSoft is a growing organization with a solid value system ,,,,, clear business practices. We believe that the purpose of technology is human convenience. Our mission is to enable organizations and individuals to benefit from cutting edge software and web-based technologies as an extension of their team.ArguSoft was started in January 1997 to provide training in state-of-art technologies and in a short span of 10 years has evolved into a premier software development and consulting organization ...and today we are recognized as a major web-enabled software application development organization.Our development facility in Gandhinagar, Gujarat, India is a state-of-art facility spread over 10,000 sq ft. located in the Gujarat Industrial Development Corporation's Electronics Estate. It is self sufficient with its own air condition and backup power (UPS) capabilities to ensure an uninterrupted work environment. Additionally we have a sales and marketing office in the silicon valley, in Newark, California, USA.",,false,,,"undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ram
email: 
",,"Consultant/Tech Services, "
BluePond,http:www.bluepondwellness.com/2.html,"We are an early stage startup focusing on integrating the best wellness and health resources seamlessly into the built environment. By built environment, we are referring to mixed use and/or master planned communities, where people live, work and play. We are developing a set of actual and virtual tools to enable real estate developers, master planners, architects and others to incorporate and coordinate wellness products and services easily into their projects from the very outset, with the consumer......s needs and interests in mind, rather than as an afterthought. BluePond believes that by working from this point, it is possible to significantly enhance people's quality of life across the lifespan and engage individuals more creatively in their own well-being. Our approach is complementary to, but significantly different from, that of the healthcare industry in that we are focusing on change from the ground up, literally, shaping the design of the built environment where people spend the majority of their time, using an interactive, iterative approach.",,false,,,"undergrad-edu: 
last-name: Wolfe
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Principal and Founder
first-name: Jessica
email: 

undergrad-edu: 
last-name: Wolfe
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Principal and Founder
first-name: Jessica
email: 
",,"Consultant/Tech Services, "
Brodeur,www. brodeur.com,"OK. If we have to accept a label, then Brodeur Partners is a Public Relations agency, and a darn good one in part because we make traditional and new media synch up in decidedly untraditional ways.We help clients stay open to the new, the unique, the breakthrough, and get seen and talked about in places and ways competitors haven't even thought about yet. So, yes. We do PR, globally, for more than 20 years. But once you get to know us, you'll not worry about a label. You'll just be thinking about what we can do together:Open Doors, Open Minds, Open Possibilities.",,false,,,"undergrad-edu: 
last-name: Feder
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: day job - EVP
first-name: Judith
email: 

undergrad-edu: 
last-name: Feder
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: day job - EVP
first-name: Judith
email: 

undergrad-edu: 
last-name: Feder
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: day job - EVP
first-name: Judith
email: 

undergrad-edu: 
last-name: Feder
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: day job - EVP
first-name: Judith
email: 

undergrad-edu: 
last-name: Feder
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: day job - EVP
first-name: Judith
email: 

undergrad-edu: 
last-name: Feder
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: day job - EVP
first-name: Judith
email: 

undergrad-edu: 
last-name: Feder
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: day job - EVP
first-name: Judith
email: 

undergrad-edu: 
last-name: Feder
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: day job - EVP
first-name: Judith
email: 
",,"Consultant/Tech Services, "
HealthEd Group,thehealthedgroup.com,"HealthEd provides health education to enable better health outcomes by facilitating learning, communication and collaboration.  The company provides customized health education research, advisory and program development services.   ",,false,,,"undergrad-edu: 
last-name: Balderson
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: SVP Strategy
first-name: Jill
email: 

undergrad-edu: 
last-name: Balderson
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: SVP Strategy
first-name: Jill
email: 

undergrad-edu: 
last-name: Balderson
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: SVP Strategy
first-name: Jill
email: 

undergrad-edu: 
last-name: Balderson
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: SVP Strategy
first-name: Jill
email: 

undergrad-edu: 
last-name: Balderson
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: SVP Strategy
first-name: Jill
email: 

undergrad-edu: 
last-name: Balderson
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: SVP Strategy
first-name: Jill
email: 
",,"Consultant/Tech Services, "
Healthy SEO,www.healthy-seo.com,Healthy SEO is a provider of search engine optimization consulting to direct-to-consumer and business-to-business web sites in the health category. ,,false,,,"undergrad-edu: 
last-name: Rosmarin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Myron
email: 

undergrad-edu: 
last-name: Rosmarin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Myron
email: 

undergrad-edu: 
last-name: Rosmarin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Myron
email: 

undergrad-edu: 
last-name: Rosmarin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Myron
email: 

undergrad-edu: 
last-name: Rosmarin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Myron
email: 

undergrad-edu: 
last-name: Rosmarin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Myron
email: 

undergrad-edu: 
last-name: Rosmarin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Myron
email: 

undergrad-edu: 
last-name: Rosmarin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Myron
email: 
",,"Consultant/Tech Services, "
iNetFrame Solutions,www.inetframesolutions.com,"iNetFrame Solutions is a growing IT solution provider based in Bangalore, India. iNetFrame has been bringing innovative product-based solutions in the area of Human Resource Management and Compliance Management.In addition, iNetFrame offers custom ERP solutions to industries where a packaged ERP solution is not available or found to be ineffective. Such custom ERP solutions are based on iNetFrame......s framework of ERP components that are customized and assembled for specific industry.",,false,,,"undergrad-edu: 
last-name: Kumar
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Sudheendra
email: 

undergrad-edu: 
last-name: Kumar
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Sudheendra
email: 

undergrad-edu: 
last-name: Kumar
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Sudheendra
email: 

undergrad-edu: 
last-name: Kumar
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Sudheendra
email: 

undergrad-edu: 
last-name: Kumar
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Sudheendra
email: 

undergrad-edu: 
last-name: Kumar
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Sudheendra
email: 
",,"B2B--Administrative Tools, Consultant/Tech Services, "
Kalinda Software,kalindasoftware.com,"Kalinda is a business agility software company which provides information services to insurance companies, health care providers, and etc. to collect, share and manage help screens, notepads and documents on their CICS systems.",,false,,,"undergrad-edu: 
last-name: Braasch
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Bill
email: 

undergrad-edu: 
last-name: Braasch
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Bill
email: 
",,"Consultant/Tech Services, "
Kryptura,www.kryptura.com,EHR/EMR software provider,,false,,,"undergrad-edu: 
last-name: Hack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Martin
email: 

undergrad-edu: 
last-name: Hack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Martin
email: 

undergrad-edu: 
last-name: Hack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Martin
email: 

undergrad-edu: 
last-name: Hack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Martin
email: 

undergrad-edu: 
last-name: Hack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Martin
email: 

undergrad-edu: 
last-name: Hack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Martin
email: 
",,"Consultant/Tech Services, "
Medical Tourism Association,www.medicaltourismassociation.com,"The Medical Tourism Association  is an international non-profit association promoting the interests of its healthcare providers and medical travel facilitator members made up of the top international hospitals, healthcare providers, medical travel facilitators, insurance companies, and other affiliated companies.",,false,,,"undergrad-edu: 
last-name: Ferrer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Western Region Marketing Representative
first-name: Bernadette
email: 

undergrad-edu: 
last-name: Ferrer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Western Region Marketing Representative
first-name: Bernadette
email: 

undergrad-edu: 
last-name: Ferrer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Western Region Marketing Representative
first-name: Bernadette
email: 

undergrad-edu: 
last-name: Ferrer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Western Region Marketing Representative
first-name: Bernadette
email: 

undergrad-edu: 
last-name: Ferrer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Western Region Marketing Representative
first-name: Bernadette
email: 

undergrad-edu: 
last-name: Ferrer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Western Region Marketing Representative
first-name: Bernadette
email: 
",,"Other, Consultant/Tech Services, "
Mount Tabor Online Services,www.mttaboros.com,"Mount Tabor Online Services provides information technology development services for healthcare clients. Mount Tabor provides custom health data integration Services, health data exchange implementation projects and 3rd party application development and PHR integration with Google Health, Microsoft Health Vault and etc.",,false,,,"undergrad-edu: 
last-name: Hall
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CTO
first-name: John
email: 

undergrad-edu: 
last-name: Kleinke
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: J.D.
email: 

undergrad-edu: 
last-name: Kleinke
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: J.D.
email: 

undergrad-edu: 
last-name: Hall
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CTO
first-name: John
email: 
",,"Consultant/Tech Services, "
