name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Bazian,www.bazian.com,"Bazian has worked with a wide range of clients in the UK NHS to bring robust evidence and expertise to pathway and service design, business cases and purchasing decisions.Bazian has also supplied high volumes of evidence-based analyses and care pathways to point of care tools and journals, including Clinical Evidence, The Map of Medicine, Evidence-based Mental Health, Evidence-based Nursing, and Evidence-based medicine. ",,true,,,"undergrad-edu: 
last-name: Donald
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: Tom
email: 

undergrad-edu: 
last-name: Donald
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: Tom
email: 
",,"Content, B2B Decision Support Analytics, "
Burnbridge,still under the radar!,"SaaS based patient education including discharge instructions and prescriptions. Services are offered free to physicians, with a separate patient portal to retrieve personalized health info, related commerce offerings, and tie-ins to PHRs.",,false,,,"undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 

undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 

undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 

undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 

undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 

undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 

undergrad-edu: 
last-name: Spitzer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Carl
email: 
",,"Content, B2B--Administrative Tools, "
Healthji,www.healthji.com,Healthji is a Health 2.0 Portal which focuses on the Global Indian Community. The B2B model focuses on Corporate Wellness and Prevention while the B2C model gives a wealth of Health related content including various assessments and tools.,,false,,,"undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Avinash
email: 
",,"Personal health assessments , Self Management tools , Wellness, B2B Decision Support Analytics, B2B--Administrative Tools, Professional Knowledge Exchanges, Personal health assessments , Self Management tools , Wellness, B2B--Administrative Tools, Content, Content, Personal health assessments , Self Management tools , Wellness, Content, Wellness, Personal health assessments , Self Management tools , "
Healthji,www.healthji.com,Healthji is a Health 2.0 Portal which focuses on the Global Indian Community. The B2B model focuses on Corporate Wellness and Prevention while the B2C model gives a wealth of Health related content including various assessments and tools.,,false,,,"undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Avinash
email: 
",,"Personal health assessments , Self Management tools , Wellness, B2B Decision Support Analytics, B2B--Administrative Tools, Professional Knowledge Exchanges, Personal health assessments , Self Management tools , Wellness, B2B--Administrative Tools, Content, Content, Personal health assessments , Self Management tools , Wellness, Content, Wellness, Personal health assessments , Self Management tools , "
Healthji,www.healthji.com,Healthji is a Health 2.0 Portal which focuses on the Global Indian Community. The B2B model focuses on Corporate Wellness and Prevention while the B2C model gives a wealth of Health related content including various assessments and tools.,,false,,,"undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Avinash
email: 
",,"Personal health assessments , Self Management tools , Wellness, B2B Decision Support Analytics, B2B--Administrative Tools, Professional Knowledge Exchanges, Personal health assessments , Self Management tools , Wellness, B2B--Administrative Tools, Content, Content, Personal health assessments , Self Management tools , Wellness, Content, Wellness, Personal health assessments , Self Management tools , "
FoundHealth,www.foundhealth.com,"FoundHealth is a website of information and solutions on the web where you can access and share health information from multiple health perspectives and sciences, connect with others like yourself and access professionals and resources.",,true,,,"undergrad-edu: 
last-name: Sharma
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Rita
email: 

undergrad-edu: 
last-name: Sharma
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Rita
email: 

undergrad-edu: 
last-name: Sharma
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Rita
email: 
",,"Patient/Consumer Communities, Content, "
Good Health Media,www.goodhealthadvertising.com,"Good Health Media is a Health focused online advertising network and publisher representing a collection of Health, Medical and Healthy Living Web sites.",,true,,,"undergrad-edu: 
last-name: Kadar
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Robert
email: 
",,"Content, "
HealthAlly,www.health-ally.com,"HealthAlly is a health and wellness based online community that provides its Members with what they need to maintain and improve their physical, mental and financial health. Its platform offers the information and tools with incentives and healthy rewards for achieving quantifiable goals that affect members...... short and long term wellness.HealthAlly’s Wellness eXchange delivers daily health, fitness, diet, wellness information and ongoing financial rewards using the latest mobile and web technologies in ways that fit its Members’ busy lifestyles.",,false,,,"undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 
",,"Content, Personal health assessments , Self Management tools , Wellness, Coaching and Advisory Services, B2B Decision Support Analytics, "
Healthcare Television (HCTV),www.healthcaretv.com/,"Healthcare Television, LLC is a producer, aggregator and distributor of entertaining healthcare news and information for primarily TV distribution. This website and Healthcare TV are intended for the general information and entertainment of the general public as well as healthcare professionals and enthusiasts. ",,true,,,"undergrad-edu: 
last-name: Giwa
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder & CEO
first-name: Abdul
email: 

undergrad-edu: 
last-name: Giwa
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder & CEO
first-name: Abdul
email: 
",,"Content, "
HealthSphere,www.HealthSphere.net,HealthSphere™ is a search tool to help you quickly and easily find the most relevant and reliable health information available. These exclusive tools give you access to personalized health information that can be used for prevention as well as a roadmap to better health.,,true,,,"undergrad-edu: 
last-name: Bailey
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder & CEO
first-name: Steve
email: 

undergrad-edu: 
last-name: Bailey
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder & CEO
first-name: Steve
email: 

undergrad-edu: 
last-name: Bailey
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder & CEO
first-name: Steve
email: 
",,"Search, Content, "
