name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Instera,www.instera.com,"Instera will operate an open, synergistic and complete electronics-enabled medical solution for independent medical practices and patients that delivers secure communications and integrates across networks, applications, data sources and emerging technologies. ",,true,,,"undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Robert
email: 
",,"Patient/Consumer Communities, Search, Provider Search, Personal health assessments , Self Management tools , B2B--Administrative Tools, Data Utility Layer, "
Proxense,www.proxense.com,"Proxense is a proximity-based, detection, authentication ,,,,, automation technology.",,true,,,"undergrad-edu: 
last-name: Davio
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: Matt
email: 

undergrad-edu: 
last-name: Davio
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: Matt
email: 

undergrad-edu: 
last-name: Davio
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: Matt
email: 

undergrad-edu: 
last-name: Davio
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: Matt
email: 

undergrad-edu: 
last-name: Davio
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: Matt
email: 

undergrad-edu: 
last-name: Davio
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development
first-name: Matt
email: 
",,"Data Utility Layer, "
Cloud Sante,,"International multilingual personal health records embedded on smart objects, online and on mobile phone. Based in France",,false,,,"undergrad-edu: 
last-name: Ngouyombo
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Barbara
email: 
",,"Data Utility Layer, Stealth/Not Launched, "
Intercomponentware AG,www.icw-global.com,"Intercomponentware AG´s network existing systems, make seamless communication across sector boundaries possible. With their eHealth solutions, administrative and medical processes in the health care sector can be connected with each other to the benefit of everyone involved. The company is based in Germany.",,true,,,"undergrad-edu: 
last-name: Golden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Richard
email: 

undergrad-edu: 
last-name: Golden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Richard
email: 

undergrad-edu: 
last-name: Golden
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Richard
email: 

undergrad-edu: 
last-name: Odenwald
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Executive Vice President
first-name: Thomas
email: 
",,"Self Management tools , Data Utility Layer, B2B Decision Support Analytics, B2B--Administrative Tools, B2B--Clinician Workflow, Professional Knowledge Exchanges, "
NHS Connecting for Health,www.connectingforhealth.nhs.uk,"HealthSpace is an online personal health organiser for individuals provided by England......s National Health Service that will enable patients to book appointments, order prescriptions, ask for reminders and links them to their live Summary Care Record.",,true,,,"undergrad-edu: 
last-name: Winfield
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director for Patients and Public
first-name: Marlene
email: 
",,"Self Management tools , Provider Search, B2B--Administrative Tools, Data Utility Layer, Content, "
Kryptiq,www.kryptiq.com,"Kryptiq provides a secure messaging platform for healthcare connectivity. EHR vendors and paper-based practices are using Kryptiq......s secure messaging platform to send referrals, lab results and more to colleagues, patients, and others.",,false,,,"undergrad-edu: 
last-name: Giles
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Strategic Programs Manager
first-name: Taylor
email: 
",,"Patient-provider communication, Data Utility Layer, Privacy and Identity, B2B--Administrative Tools, B2B--Revenue Collection , "
Metavante’s HealthManager (CapMed),http:www.capmed.com/Solutions/ConsumerDrivenHealthcare/PersonalHealthRecords.aspx,"Metavante’s HealthManager, (formerly CapMed), makes personal health information meaningful for consumers, and enables them to actively manage personal health any time. The PHR scans all available information (which could include databases like the HealthVault, Google, or Dossia, claims aggregators, direct electronic interfaces or self-entered by the user) for opportunities to engage the PHR user.  ",,true,,,"undergrad-edu: 
last-name: Angst
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: General Manager
first-name: Wendy
email: 
",,"Self Management tools , Data Utility Layer, "
Jumper Networks,www.jumpernetworks.com,"Jumper 2.0 is a new kind of enterprise search. One that is powered by people, not algorithms or metadata. People like you. Who collaborate with friends and colleagues to share information. Jumper uses peer and social-networking principles to tag and link distributed information resources to create an interactive, user-submitted, recommendation engine.",,true,,,"undergrad-edu: 
last-name: Perry
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder, Lead Software Architect
first-name: Steve
email: 
",,"Search, B2B Decision Support Analytics, Data Utility Layer, "
Ideal Life,www.ideallifeonline.com,"Ideal Life has Bluetooth-enabled, fully automated and wireless communication platform, designed in a modular fashion to allow for easy integration with a wide spectrum of products. The core technology makes it possible for users to securely capture, store, and share important health information with any mode of communication – including cell phones, telephone lines, and the Internet--using several different devices like scales ,,,,, blood pressure meters.",,true,,,"undergrad-edu: 
last-name: Wheeler
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director Business Development 
first-name: Steve 
email: 
",,"Self Management tools , Data Utility Layer, "
Zweena,www.zweenahealth.com,Zweena is a Personal Health Record (PHR) providing an Internet-based set of tools that allows people to access and coordinate their lifelong health information and make appropriate parts of it available to those who need it. The company collects their paper medical records from doctors and load them up into a proprietary web site.,,true,,,"undergrad-edu: 
last-name: Phelan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO/Founder
first-name: John
email: 
",,"Self Management tools , Data Utility Layer, "
Microsoft HealthVault,www.healthvault.com,"Microsoft HealthVault is a platform from Microsoft that offers a way to store health and fitness information from many sources in one location, so that it’s always organized and available to online.",,true,,,"undergrad-edu: 
last-name: Tudor
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Marketing Manager
first-name: Debbie  
email: 

undergrad-edu: 
last-name: Ferriss
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Tracey
email: 

undergrad-edu: 
last-name: Cerino
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: David
email: 

undergrad-edu: 
last-name: Neupert
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Health Solutions Group
first-name: Peter
email: 
",,"Data Utility Layer, Self Management tools , "
Certify Data Systems,www.certifydatasystems.com,"Through the Hospital Gateway and HealthDock™ appliance, Certify gives hospitals and health systems a new tool to seamlessly connect their physicians, simplifying the time-consuming, resource-intensive and difficult process of interfacing with physician EMRs.",,true,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Data Utility Layer, "
Coalese,www.coalese.com,"Coalese......s Raven product is a comprehensive collaboration and patient record access tool, which makes clinic and physician EMR information accessible to primary care team members.",,true,,,"undergrad-edu: 
last-name: Taramina
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Andrzej
email: 
",,"Data Utility Layer, B2B--Clinician Workflow, "
Medisyn Systems,www.medisyn.com,"Medisyn Systems is a secure, logically connected information network for clinicians, and a data repository for patient health records.",,true,,,"undergrad-edu: 
last-name: Dussia
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Evan
email: 

undergrad-edu: 
last-name: Dussia, II, MD
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chairman
first-name: Evan
email: 
",,"Data Utility Layer, Professional Knowledge Exchanges, B2B--Clinician Workflow, "
Mitochon Systems,www.mitochonsystems.com,"Mitochon Systems provides afree web-based integrated virtual medical community with HIE, EMR, and PHR in one system.",,true,,,"undergrad-edu: 
last-name: Vovan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President, MD MBA
first-name: Andre 
email: 

undergrad-edu: 
last-name: Riley
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Chris
email: 

undergrad-edu: 
last-name: Vovan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chairman, Chief Medical Officer
first-name: Andre 
email: 
",,"Self Management tools , Data Utility Layer, B2B--Clinician Workflow, "
