name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
QuickStep Games,www.quickstepgames.com,"Website not workingQuickStep is developing a series of active play video exergames that sell into three markets: retail, education and health care. The video games are designed and developed to have broad appeal for both fun and long term playability as well as low cost. QuickStep is a certified developer for the Nintendo Wii, XBOX 360, the PC and MAC platforms.",,false,,,"undergrad-edu: 
last-name: Duncan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Chris
email: 

undergrad-edu: 
last-name: Duncan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Chris
email: 
",,"Gaming, Out of business, "
HealthyWorlds,www.healthyworlds.com,"HealthWorlds uses virtual worlds to deliver effective, efficient and inexpensive health improvement programs.",,true,,,"undergrad-edu: 
last-name: Mills
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Dr
first-name: Peter
email: 

undergrad-edu: 
last-name: Pinder
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founding Partner
first-name: Clive
email: 

undergrad-edu: 
last-name: Mills
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Dr
first-name: Peter
email: 
",,"Content, Self Management tools , Gaming, "
HealthyWage,www.healthywage.com,HealthyWage is a provider of health and wellness incentive programs for corporations to reward employees who make healthy choices.,,true,,,"undergrad-edu: 
last-name: Roddenberry
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder
first-name: David
email: 

undergrad-edu: 
last-name: Roddenberry
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder
first-name: David
email: 
",," Financial management , Wellness, Patient/Consumer Communities, Search, Content, Provider Search, Gaming, "
HAPPYneuron,www.happy-neuron.com,"Happy Neuron provides scientifically rigorous and validated cognitive stimulation programs to consumers, clinician and researchers to address healthy brain aging and the treatment of a variety of cognitive impairment conditions. ",,true,,,"undergrad-edu: 
last-name: Fay
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Operating Officer
first-name: Laura
email: 
",,"Content, Self Management tools , Wellness, Gaming, "
Fitbrains,www.fitbrains.com,"Vivity Lab......s first product, Fit Brains, is an online brain fitness platform that combines a large portfolio of casual brain games, personalized tracking ,,,,, recommendations, a motivational rewards system, and a variety of social features. ",,true,,,"undergrad-edu: 
last-name: Cole
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Michael
email: 
",,"Self Management tools , Gaming, "
Gaming4Health,www.gaming4health.com,"Gaming4Health is an online social network and news source for the Health eGames Industry, where you can find all the latest news, and share your knowledge and experience with other community members.",,true,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Content, Gaming, "
HopeLab,www.hopelab.org,"Zamzee, a new product from HopeLab, is aimed at increasing physical activity in kids as a way to help short circuit the obesity epidemic. Zamzee is a specially designed 3-axis accelerometer calibrated to measure kids...... activity.",,true,,,"undergrad-edu: 
last-name: Tate
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director, Communications & Marketing
first-name: Richard
email: 

undergrad-edu: 
last-name: Christen
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President 
first-name: Pat
email: 

undergrad-edu: 
last-name: Cawley
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President, Impact 
first-name: Dan
email: 

undergrad-edu: 
last-name: Cole
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President, Research 
first-name: Steve W.
email: 

undergrad-edu: 
last-name: Dillon
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Product Development
first-name: Fred
email: 

undergrad-edu: 
last-name: 
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director of Research Operations
first-name: Jana Haritatos
email: 

undergrad-edu: 
last-name: LaPointe
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Strategic Partnerships
first-name: Ellen
email: 

undergrad-edu: 
last-name: Murchinson
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President, Staff Development, Learning 
first-name: Chris
email: 

undergrad-edu: 
last-name: Belluzzo
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Special Advisor, Strategic Partnerships
first-name: Charlyn
email: 

undergrad-edu: 
last-name: Tate
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director of Communications & Marketing
first-name: Richard
email: 
",,"Gaming, "
Red Hill Studios ,www.redhillstudios.com,"Red Hill Studios is the developer of PD Wii (Wiihabilitation For Parkinson......s Disease Patient), computer-based physical therapy games for patients with Parkinson's disease and cerebral palsy.",,true,,,"undergrad-edu: 
last-name: Hone
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Bob
email: 
",,"Gaming, "
SmartBrain Games,www.smartbraintech.com,"SmartBrain Games develop .....interactive devices"" in the areas of health, learning, and performance enhancement to create the most advanced and powerful ""brain exercise"" system available.",,true,,,"undergrad-edu: 
last-name: Greco
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Dominic
email: 
",,"Gaming, "
MedPlay Technologies,www.medplaytech.com,MedPlay Technologies designs exergame (active gaming) technologies design to promote healthy lifestyles. Current products center on physical pieces of equipment though the company is beginning to design digital health interventions capable of networking with EMRs.,,false,,,"undergrad-edu: 
last-name: Medina
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ernie
email: 
",,"Gaming, Wellness, "
HealthyWorlds ,http:www.healthyworlds.com/,Healthy Worlds delivers wellness and disease-specific seminars through interactive 3-dimensional virtual worlds.,,false,,,"undergrad-edu: 
last-name: Pinder
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Clive
email: 
",,"Content, Wellness, Gaming, "
