name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Avalon Healthcare Holdings,www.avalonhealthcare.com,Florida based Avalon Healthcare is an innovative new health insurance company offering consumer directed health plans to employers and individuals who need affordable healthcare and live and work in Florida.,,false,,,"undergrad-edu: 
last-name: Neely
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Sr. VP, Operations
first-name: Henry
email: 

undergrad-edu: 
last-name: Neely
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Sr. VP, Operations
first-name: Henry
email: 
",,"Other, "
Global Health Design,www.globalhealthdesign.com,"Global Health Design is a consortium group of Clinicians, Healthcare Engineering and marketing from large multi-national healthcare firms, who want to participate in making a significant change in healthcare. GHD is dedicated to making a difference in the patient experience in acute care improve in both new safety and cost effective measures. ",,true,,,"undergrad-edu: 
last-name: Sykes
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Managing Director
first-name: Brian
email: 

undergrad-edu: 
last-name: Sykes
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Managing Director
first-name: Brian
email: 

undergrad-edu: 
last-name: Sykes
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Managing Director
first-name: Brian
email: 

undergrad-edu: 
last-name: Sykes
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Managing Director
first-name: Brian
email: 

undergrad-edu: 
last-name: Sykes
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Managing Director
first-name: Brian
email: 

undergrad-edu: 
last-name: Sykes
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Managing Director
first-name: Brian
email: 
",,"Other, "
GlyTec,n/a,GlyTec provides EMR for diabetes management in in-patient hospital systems.,,true,,,"undergrad-edu: 
last-name: Booth
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President
first-name: Robert
email: 

undergrad-edu: 
last-name: Booth
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President
first-name: Robert
email: 

undergrad-edu: 
last-name: Booth
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President
first-name: Robert
email: 

undergrad-edu: 
last-name: Booth
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President
first-name: Robert
email: 

undergrad-edu: 
last-name: Booth
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President
first-name: Robert
email: 

undergrad-edu: 
last-name: Booth
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President
first-name: Robert
email: 
",,"Other, Out of business, "
HealthWarehousecom,http:www.healthwarehouse.com,"HealthWarehouse.com is a full-scale, state-of-the-art FDA-approved pharmacy which can handle more than 12,000 prescriptions per day.",,true,,,"undergrad-edu: 
last-name: Dhadphale
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President & CEO
first-name: Lalit
email: 

undergrad-edu: 
last-name: Dhadphale
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President & CEO
first-name: Lalit
email: 

undergrad-edu: 
last-name: Dhadphale
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President & CEO
first-name: Lalit
email: 

undergrad-edu: 
last-name: Dhadphale
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President & CEO
first-name: Lalit
email: 

undergrad-edu: 
last-name: Dhadphale
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President & CEO
first-name: Lalit
email: 

undergrad-edu: 
last-name: Dhadphale
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President & CEO
first-name: Lalit
email: 
",,"Other, "
iMedFlow,,"We are designing and developing Mobile Healthcare Workflows for Best Practices Implementations to enable content in the form of Checklists and Evidence Based Medicine into workflows executable on SmartPhones. Our goal is to have these workflows as part of a SaaS subscription that Hospitals, Surgeons and Physicians can subscribe to. ",,false,,,"undergrad-edu: 
last-name: Kannan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Nari
email: 

undergrad-edu: 
last-name: Kannan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Nari
email: 

undergrad-edu: 
last-name: Kannan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Nari
email: 

undergrad-edu: 
last-name: Kannan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Nari
email: 

undergrad-edu: 
last-name: Kannan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Nari
email: 

undergrad-edu: 
last-name: Kannan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Nari
email: 
",,"Other, "
InfoMEDRx,coming soon,"InfoMEDRx plans to creat a network of doctors worldwide who will provide information medicine services in a live consultative format leveraging collaboration technology developed by us, for less than the price of a copay in the US. ",,true,,,"undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Gopalan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Ram
email: 
",," Financial management , B2B Decision Support Analytics, B2B--Administrative Tools, Other, "
Medical Tourism Association,www.medicaltourismassociation.com,"The Medical Tourism Association  is an international non-profit association promoting the interests of its healthcare providers and medical travel facilitator members made up of the top international hospitals, healthcare providers, medical travel facilitators, insurance companies, and other affiliated companies.",,false,,,"undergrad-edu: 
last-name: Ferrer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Western Region Marketing Representative
first-name: Bernadette
email: 

undergrad-edu: 
last-name: Ferrer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Western Region Marketing Representative
first-name: Bernadette
email: 

undergrad-edu: 
last-name: Ferrer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Western Region Marketing Representative
first-name: Bernadette
email: 

undergrad-edu: 
last-name: Ferrer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Western Region Marketing Representative
first-name: Bernadette
email: 

undergrad-edu: 
last-name: Ferrer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Western Region Marketing Representative
first-name: Bernadette
email: 

undergrad-edu: 
last-name: Ferrer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Western Region Marketing Representative
first-name: Bernadette
email: 
",,"Other, Consultant/Tech Services, "
NextBio,www.nextbio.com,"NextBio is the developer of an innovative global discovery platform for life sciences data.The platform is offered in three product versions: NextBio Basic, NextBio Professional. ",,true,,,"undergrad-edu: 
last-name: Akhtari
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder, President & CEO
first-name: Saeid
email: 

undergrad-edu: 
last-name: Akhtari
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder, President & CEO
first-name: Saeid
email: 
",,"Other, Search, "
Nodalus,,"Nodalus looks to integrate health policy, management and health technology to provide unified systems. Our niche comes form a broad understanding of the health care sector in the fields of health policy, technology and management. Our projects are agile, flexible and systemic in perspective. We pride in the fact that we are able to build frameworks that unites systems. ",,false,,,"undergrad-edu: 
last-name: Serrao
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Steve
email: 

undergrad-edu: 
last-name: Serrao
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Steve
email: 

undergrad-edu: 
last-name: Serrao
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Steve
email: 

undergrad-edu: 
last-name: Serrao
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Steve
email: 

undergrad-edu: 
last-name: Serrao
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Steve
email: 

undergrad-edu: 
last-name: Serrao
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Steve
email: 
",,"Other, "
Robert Wood Johnson Foundation,rwjf.org,"The Robert Wood Johnson Foundations effort focus on improving both the health  of everyone in America and their health care—how it\\\\\\......s delivered, how it\\\\\\\'s paid for, and how well it does for patients and their families.",,false,,,"undergrad-edu: 
last-name: mende
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: sr program officer
first-name: susan
email: 

undergrad-edu: 
last-name: Lieberman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Deborah
email: 

undergrad-edu: 
last-name: mende
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: sr program officer
first-name: susan
email: 

undergrad-edu: 
last-name: mende
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: sr program officer
first-name: susan
email: 
",,"Other, "
