name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Emergence Medicine,www.emergencemedicine.com,"EMERGENCE MEDICINE (EM) is dedicated to the future professionalism of Medicine, embracing the consumer/patient-centered philosophy. This begins with open, honest, interactive communication, and clear expectations, documented on an on-line personal health record controlled by the healthcare consumer patient. Though we focus on episodic and acute care, our aim is to transition to a continous healing relationship through an engaged patient/physician interaction, and enabling technology.",,false,,,"undergrad-edu: 
last-name: Ybarra
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President and Founder
first-name: Richard
email: 

undergrad-edu: 
last-name: Ybarra
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President and Founder
first-name: Richard
email: 

undergrad-edu: 
last-name: Ybarra
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President and Founder
first-name: Richard
email: 

undergrad-edu: 
last-name: Ybarra
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President and Founder
first-name: Richard
email: 
",,"Out of business, Stealth/Not Launched, "
GlyTec,n/a,GlyTec provides EMR for diabetes management in in-patient hospital systems.,,true,,,"undergrad-edu: 
last-name: Booth
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President
first-name: Robert
email: 

undergrad-edu: 
last-name: Booth
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President
first-name: Robert
email: 

undergrad-edu: 
last-name: Booth
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President
first-name: Robert
email: 

undergrad-edu: 
last-name: Booth
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President
first-name: Robert
email: 

undergrad-edu: 
last-name: Booth
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President
first-name: Robert
email: 

undergrad-edu: 
last-name: Booth
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Vice President
first-name: Robert
email: 
",,"Other, Out of business, "
iAccessCare,www.iaccesscare.com,iAccessCare provides consumers with on-demand access to high quality healthcare practitioners who can solve common primary care complaints in real time. ,,true,,,"undergrad-edu: 
last-name: Kreiner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Thane
email: 

undergrad-edu: 
last-name: Kreiner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Thane
email: 

undergrad-edu: 
last-name: Kreiner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Thane
email: 

undergrad-edu: 
last-name: Kreiner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Thane
email: 

undergrad-edu: 
last-name: Kreiner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Thane
email: 

undergrad-edu: 
last-name: Kreiner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Thane
email: 
",,"Stealth/Not Launched, Out of business, "
QuickStep Games,www.quickstepgames.com,"Website not workingQuickStep is developing a series of active play video exergames that sell into three markets: retail, education and health care. The video games are designed and developed to have broad appeal for both fun and long term playability as well as low cost. QuickStep is a certified developer for the Nintendo Wii, XBOX 360, the PC and MAC platforms.",,false,,,"undergrad-edu: 
last-name: Duncan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Chris
email: 

undergrad-edu: 
last-name: Duncan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Chris
email: 
",,"Gaming, Out of business, "
Tabyat Partners,http:www.iluvmydoc.com,"Tabyat Partners, LLC (TP) is a technology company serving the healthcare industry. The company focus is to build software products that bring operational and billing efficiencies to the healthcare provider.  Tabyat Partners' market presence will be built upon iluvmydoc.com (ILMD) - the firm",,false,,,"undergrad-edu: 
last-name: Gidwani
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Naveen 
email: 

undergrad-edu: 
last-name: Gidwani
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Naveen 
email: 

undergrad-edu: 
last-name: Gidwani
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Naveen 
email: 

undergrad-edu: 
last-name: Gidwani
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Naveen 
email: 

undergrad-edu: 
last-name: Gidwani
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Naveen 
email: 

undergrad-edu: 
last-name: Gidwani
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Partner
first-name: Naveen 
email: 
",,"Out of business, "
Truu Health,www.truuhealth.com,"Truu Healthâ€™s solution is simple â€“ and breakthrough: We pay for results. This makes all stakeholders accountable for value returned, as opposed to the current system which has no accountability for results. We contract with self-insured employers who ",,false,,,"undergrad-edu: 
last-name: Kozicki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Scott
email: 

undergrad-edu: 
last-name: Kozicki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Scott
email: 

undergrad-edu: 
last-name: Kozicki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Scott
email: 

undergrad-edu: 
last-name: Kozicki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Scott
email: 

undergrad-edu: 
last-name: Kozicki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Scott
email: 

undergrad-edu: 
last-name: Kozicki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Scott
email: 
",,"Out of business, "
Health Shoppr,www.healthshoppr.com,HealthShoppr is a company dedicated to helping consumers shop for message therapy.,,false,,,"undergrad-edu: 
last-name: Goel, M.D.
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Vijay
email: 

undergrad-edu: 
last-name: Goel, M.D.
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Vijay
email: 
",,"Out of business, "
TelMedX,,"The TelMedX business plan is based on using a patientâ€™s own cell phone camera to provide visual triage, remote diagnosis and health status monitoring anytime, anywhere.  Providing two-way video in the affordable and mobile form factor of the patientâ€™s",,false,,,"undergrad-edu: 
last-name: Anglin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Richard
email: 

undergrad-edu: 
last-name: Anglin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Richard
email: 
",,"Out of business, Stealth/Not Launched, "
Golden Gate University,,,,false,,,"undergrad-edu: 
last-name: Rzaca
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Graduate Student
first-name: Judy
email: 

undergrad-edu: 
last-name: Rzaca
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Graduate Student
first-name: Judy
email: 

undergrad-edu: 
last-name: Rzaca
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Graduate Student
first-name: Judy
email: 

undergrad-edu: 
last-name: Rzaca
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Graduate Student
first-name: Judy
email: 

undergrad-edu: 
last-name: Rzaca
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Graduate Student
first-name: Judy
email: 
",,"Out of business, "
Zume Life,www.zumelife.com,Zuri helps you to remember and record all your daily health activities and your on-going health condition.Company went into hibernation in late 2009.,,false,,,"undergrad-edu: 
last-name: Mehta
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Rajiv
email: 
",,"Out of business, "
