name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
BodiMojo,www.bodimojo.com,"BodiMojo is a health community web site for teens created in collaboration with teens and health experts, with initial funding from a National Institutes of Health grant. BodiMojo includes music, interactive tools, games, videos, community building, contests, original content, social networking, and customized user pages for teens.",,true,,,"undergrad-edu: 
last-name: Cousineau
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Tara
email: 

undergrad-edu: 
last-name: Cousineau
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Tara
email: 
",,"Patient/Consumer Communities, "
Emota,http:emota.net/home.html,"Emota is a pioneer in the field of Emotional Networking, which complements existing telehealth solutions to address not just clinical health, but emotional and social aspects of elder care. Using the latest science in Ambient Intelligence and Awareness Systems--a web enabled picture frame--Emota can help families and their elders communicate.",,true,,,"undergrad-edu: 
last-name: To
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Paul 
email: 

undergrad-edu: 
last-name: Work
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Head of Marketing & Strategic Corp Development
first-name: Mitch
email: 
",,"Patient/Consumer Communities, Patient-provider communication, "
FoundHealth,www.foundhealth.com,"FoundHealth is a website of information and solutions on the web where you can access and share health information from multiple health perspectives and sciences, connect with others like yourself and access professionals and resources.",,true,,,"undergrad-edu: 
last-name: Sharma
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Rita
email: 

undergrad-edu: 
last-name: Sharma
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Rita
email: 

undergrad-edu: 
last-name: Sharma
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Rita
email: 
",,"Patient/Consumer Communities, Content, "
HealthAngle,www.healthangle.com,"HealthAngle -- www.healthangle.com -- is an online community for patients, families and healthcare providers aimed at making surgery and medical procedures less stressful by allowing patients the opportunity to share their experiences with, and learn from, others.   ",,true,,,"undergrad-edu: 
last-name: Wilan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and President
first-name: Ken
email: 

undergrad-edu: 
last-name: Wilan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and President
first-name: Ken
email: 

undergrad-edu: 
last-name: Wilan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and President
first-name: Ken
email: 

undergrad-edu: 
last-name: Wilan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and President
first-name: Ken
email: 

undergrad-edu: 
last-name: Wilan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and President
first-name: Ken
email: 

undergrad-edu: 
last-name: Wilan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and President
first-name: Ken
email: 
",,"Patient/Consumer Communities, Search, "
Instera,www.instera.com,"Instera will operate an open, synergistic and complete electronics-enabled medical solution for independent medical practices and patients that delivers secure communications and integrates across networks, applications, data sources and emerging technologies. ",,true,,,"undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Robert
email: 
",,"Patient/Consumer Communities, Search, Provider Search, Personal health assessments , Self Management tools , B2B--Administrative Tools, Data Utility Layer, "
IPGDx,www.ipgdx.com,IPGDx is a BioTechnology Firm providing medical measurement tools. PrognostiCheck® device provides a reliable and objective prognosis measurement and EFresh® device measures Food freshness and quality.,,false,,,"undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO
first-name: John
email: 

undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO
first-name: John
email: 

undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO
first-name: John
email: 

undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO
first-name: John
email: 

undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO
first-name: John
email: 

undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: John
email: 

undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO
first-name: John
email: 
",,"Patient/Consumer Communities, Personal health assessments , Self Management tools , Wellness, "
Collectively Wise,www.collectivelywise.com,"Collectively Wise is an online community resource and group blog for the sandwich generation discussing anything from Medicare, insurance, housing and more.",,true,,,"undergrad-edu: 
last-name: Luehrs
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Kirsten
email: 
",,"Patient/Consumer Communities, Content, "
23andMe,www.23andme.com,"23andMe is a personal genetics company which markets DNA analysis technologies and web-based interactive tools, as well as associated communities direct to consumers.",,true,,,,,"Patient/Consumer Communities, Personal health assessments , "
Alliance Health,www.alliancehealth.com,"Alliance Health creates social health networks that connect people to support communities for a growing number of health conditions and leverages a proprietary condition-specific social networking platform to delivery transformative value propositions to patients. Alliance Health supports 5 communities including Diabetic Connect.com, a social networking site for people affected by diabetes, Sleep Connect, Arthritis Connect, Back Pain Connect and Migraine Connect.",,true,,,"undergrad-edu: 
last-name: Burwell
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Stead
email: 
",,"Patient/Consumer Communities, "
BeWell,www.bewell.com,"BeWell connects members through both evidence based content and dialogue.  BeWell.com enables consumers to access a team of well-known doctors to hear what they think about health topics ranging from recent studies to news articles and lifestyle choices. BeWell is owned by Lluminari, Inc.",,true,,,"undergrad-edu: 
last-name: Browning
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO, Co-Founder
first-name: Elizabeth
email: 
",,"Content, Patient/Consumer Communities, "
