name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
AdhereTx,http:www.adheretx.com,"AdhereTx provides software as a service for medication therapy management in older adults. It uses. The program captures patient self-reported information about observations of daily living, medications (including Rx, OTC and supplements) and symptoms and conditions as structured data, along with biometric data such as blood pressure, weight or blood glucose. It uses a rules-based framework to generate a SmartList of medications and potential risks for the patient as well as tailored content and education.",,true,,,"undergrad-edu: 
last-name: Biernacki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CTO, Co-Founder
first-name: Anne 
email: 

undergrad-edu: 
last-name: Meisner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Patricia
email: 

undergrad-edu: 
last-name: Meisner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Patricia
email: 

undergrad-edu: 
last-name: Biernacki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CTO, Co-Founder
first-name: Anne 
email: 

undergrad-edu: 
last-name: Biernacki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder, CTO
first-name: Anne Marie
email: 
",,"Self Management tools , Patient-provider communication, "
Allviant,www.allviant.com,"Allviant is the developer of the Allviant Service Relationship Management (SRM) platform and the first-ever consumer-centric SRM collection of tools and applications for healthcare called CarePass.The CarePass Virtual Waiting Room  allows you to confirm and check-in to your appointments anywhere. When your Provider is ready to see you, you will receive a notification via any method you choose, whether it......s text messaging, email or automated voice call. With CarePass, you can wait for your appointment anywhere BUT the waiting room.",,true,,"date-launched: 
product: 
description: 
name:  Allviant Service Relationship Management (SRM) platform

date-launched: 
product: 
description: 
name: CarePass
","undergrad-edu: 
last-name: Crapo
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder and Chief Architect/Technology
first-name: Jared
email: 

undergrad-edu: 
last-name: Myers
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder 
first-name: Lilian
email: 

undergrad-edu: 
last-name: McHale
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP of Business Development
first-name: Tom
email: 

undergrad-edu: 
last-name: Meyerowitz
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Products
first-name: Jordan
email: 

undergrad-edu: 
last-name: Crapo
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director, Product Management
first-name: Jared
email: 

undergrad-edu: 
last-name: Myers
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder & CEO
first-name: Lilian
email: 
",,"B2B--Administrative Tools, Patient-provider communication, "
Emota,http:emota.net/home.html,"Emota is a pioneer in the field of Emotional Networking, which complements existing telehealth solutions to address not just clinical health, but emotional and social aspects of elder care. Using the latest science in Ambient Intelligence and Awareness Systems--a web enabled picture frame--Emota can help families and their elders communicate.",,true,,,"undergrad-edu: 
last-name: To
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Paul 
email: 

undergrad-edu: 
last-name: Work
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Head of Marketing & Strategic Corp Development
first-name: Mitch
email: 
",,"Patient/Consumer Communities, Patient-provider communication, "
Irehab,http:www.irehab.com/,Irehab.com is a web based exercise delivery system built for the medical professional and patient. Irehab provides a platform for the medical professional to deliver exercises and communicate with patients quickly and easily via the web. ,,true,,,"undergrad-edu: 
last-name: Krugh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 

undergrad-edu: 
last-name: Krugh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 

undergrad-edu: 
last-name: Krugh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 

undergrad-edu: 
last-name: Krugh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 

undergrad-edu: 
last-name: Krugh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 

undergrad-edu: 
last-name: Krugh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 
",,"Coaching and Advisory Services, Patient-provider communication, "
ScramblerMail,www.scramblermail.com,"ScramblerMail offers an easy-to-use, hosted, encrypted e-mail solution designed for small medical practices with limited IT infrastructure.  The service allows providers to securely e-mail anyone from any computer, whether or not the recipient has a secure e-mail account.  There is no need to change e-mail addresses or install software.  ScramblerMail alerts the sender when an e-mail has been opened or if it has not been opened by a certain time.",,true,,,"undergrad-edu: 
last-name: Fiedotin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Richard
email: 

undergrad-edu: 
last-name: Fiedotin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Richard
email: 
",,"Patient-provider communication, Consultant/Tech Services, "
3G Doctor,3gdoctor.com,3G Doctor is a service that provides remote 3G Video Mobile access to the advice of independent General Medical Council Registered Doctors in the UK and Ireland. ,,true,,,"undergrad-edu: 
last-name: Kavanagh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director
first-name: Fiona
email: 

undergrad-edu: 
last-name: doherty
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: cofounder
first-name: david
email: 
",,"Patient-provider communication, "
Active Health Management,www.activehealthmanagement.com/,"Active Health Management provides health management services, including disease management, clinical decision support and personal health records. The company......s solutions are all based on its patented CareEngine® System which analyzes medical and pharmacy claims and lab results. Bought by Aetna in 2005. ",,true,,,"undergrad-edu: 
last-name: Reisman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Lonny
email: 
",,"Self Management tools , Patient-provider communication, B2B Decision Support Analytics, "
Alere ,www.alere.com,"Major disease management company owned by device company Inverness Medical. Alera......s health management services connects patients and clinicians to healthcare data, from information patients provide, to test and home-monitoring results, to pharmacy records, to doctor visits. Bought physician-patient communication company RMD Networks in 2010.",,true,,,"undergrad-edu: 
last-name: Moyer
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Cathy
email: 

undergrad-edu: 
last-name: Norman
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Executive Vice President
first-name: Gordon
email: 

undergrad-edu: 
last-name: Moore
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Executive Vice President
first-name: Timothy
email: 
",,"Personal health assessments , Self Management tools , Wellness, Patient-provider communication, "
American Well,www.americanwell.com,"American Well™ has created an Online Care system that allows consumers to connect with physicians immediately, whenever they have a health need, from their homes or offices. The innovation uses advanced Web-based technologies and telephony to remove traditional barriers to healthcare access, including insurance coverage, geography, mobility and time constraints. Online Care is growing rapidly and is currently offered by Blue Cross Blue Shield of Hawaii, Blue Cross Blue Shield of Minnesota, OptumHealth (a business of UnitedHealth Group) and TriWest Healthcare Alliance.",,true,,,"undergrad-edu: 
last-name: Schoenberg
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Roy
email: 

undergrad-edu: 
last-name: Schoenberg
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO
first-name: Ido
email: 
",,"Patient-provider communication, "
Ateb,ateb.com,"Ateb is a pharmacy-based media program that allows for interactive IVR messaging with patients at leading chains and independent pharmacies.  The service is tied directly to pharmacy level patient data, allowing for real-time patient targeting by age, condition, therapy class, brand, dose and even compliance level.The company is now expanding its footprint and is building a retail network which will include most of the top chains and independents.",,true,,,"undergrad-edu: 
last-name: schwartz
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: chief marketing officer
first-name: dean
email: 
",,"Self Management tools , Patient-provider communication, "
