name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Healthji,www.healthji.com,Healthji is a Health 2.0 Portal which focuses on the Global Indian Community. The B2B model focuses on Corporate Wellness and Prevention while the B2C model gives a wealth of Health related content including various assessments and tools.,,false,,,"undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Avinash
email: 
",,"Personal health assessments , Self Management tools , Wellness, B2B Decision Support Analytics, B2B--Administrative Tools, Professional Knowledge Exchanges, Personal health assessments , Self Management tools , Wellness, B2B--Administrative Tools, Content, Content, Personal health assessments , Self Management tools , Wellness, Content, Wellness, Personal health assessments , Self Management tools , "
MedicExchange,www.medicexchange.com,"MedicExchange Inc, a subsidiary of MGT Capital Investments Inc., is a New York based healthcare media company that owns and operates websites in the radiology and healthcare space. The company’s flagship site, www.medicexchange.com, is focused on radiology.",,true,,,"undergrad-edu: 
last-name: van Klaveren
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Alex 
email: 

undergrad-edu: 
last-name: van Klaveren
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Alex 
email: 

undergrad-edu: 
last-name: van Klaveren
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Alex
email: 
",,"Professional Knowledge Exchanges, "
Serendica,www.serendica.com,"Serendica is a collaborative intelligence network. Physicians  notify any unexpected improvement in a disease while the medicines taken by the patient are not intended to cure that disease, with the goal of finding new cures. Based in France.",,true,,,"undergrad-edu: 
last-name: GHALEB
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Dr
first-name: Jean-Claude
email: 

undergrad-edu: 
last-name: GHALEB
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Dr
first-name: Jean-Claude
email: 
",,"Professional Knowledge Exchanges, Stealth/Not Launched, "
Allhealthcare.com,allhealthcare.monster.com/,Part of Monster.com.  Allhealthcare.com is a healthcare career resource site.,,true,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 

undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Professional Knowledge Exchanges, "
HealthLat,www.healthlat.com,"HealthLat provides an online marketplace for observations of adverse side effects, efficacy, and off-label uses reported by physicians. ",,true,,,"undergrad-edu: 
last-name: Chen
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Johnson
email: 

undergrad-edu: 
last-name: Chen
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Johnson
email: 

undergrad-edu: 
last-name: Chen
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Johnson
email: 
",,"B2B Decision Support Analytics, Professional Knowledge Exchanges, "
PhysiciansWorkplace.com,physiciansworkplace.com,"PhysiciansWorkplace.com is an online membership group for physicians that employed in clinical practice, research, pharmaceutical and insurance industries or other health related professional activities.",,true,,,"undergrad-edu: 
last-name: Novack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: founder
first-name: Peter
email: 

undergrad-edu: 
last-name: Novack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: founder
first-name: Peter
email: 

undergrad-edu: 
last-name: Novack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: founder
first-name: Peter
email: 

undergrad-edu: 
last-name: Novack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: founder
first-name: Peter
email: 

undergrad-edu: 
last-name: Novack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: founder
first-name: Peter
email: 

undergrad-edu: 
last-name: Novack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: founder
first-name: Peter
email: 

undergrad-edu: 
last-name: Novack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: founder
first-name: Peter
email: 

undergrad-edu: 
last-name: Novack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: founder
first-name: Peter
email: 

undergrad-edu: 
last-name: Novack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: founder
first-name: Peter
email: 

undergrad-edu: 
last-name: Novack
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: founder
first-name: Peter
email: 
",,"Professional Knowledge Exchanges, "
GIDEON Informatics,www.gideononline.com,"GIDEON is a web based expert system and knowledge base for health professionals which helps them make better decisions. GIDEON currently supports Infectious Diseases, Microbiology and Toxicology and is used by doctors, nurses and students in hospitals, universities and departments of public health.Users can enter multiple symptoms and receive a differential diagnosis and obtain information about the diseases including recommended therapy.",,true,,,"undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 

undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 

undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 

undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 

undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 

undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 

undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 
",,"Content, B2B Decision Support Analytics, Professional Knowledge Exchanges, Content, B2B Decision Support Analytics, Professional Knowledge Exchanges, "
GIDEON Informatics,www.gideononline.com,"GIDEON is a web based expert system and knowledge base for health professionals which helps them make better decisions. GIDEON currently supports Infectious Diseases, Microbiology and Toxicology and is used by doctors, nurses and students in hospitals, universities and departments of public health.Users can enter multiple symptoms and receive a differential diagnosis and obtain information about the diseases including recommended therapy.",,true,,,"undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 

undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 

undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 

undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 

undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 

undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 

undergrad-edu: 
last-name: Blackman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Uri
email: 
",,"Content, B2B Decision Support Analytics, Professional Knowledge Exchanges, Content, B2B Decision Support Analytics, Professional Knowledge Exchanges, "
Information Hospitaliere,www.informationhospitaliere.com,France-based health news service,,true,,,"undergrad-edu: 
last-name: ludovic
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: director
first-name: coralie
email: 

undergrad-edu: 
last-name: ludovic
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: director
first-name: coralie
email: 
",,"Content, Professional Knowledge Exchanges, "
medCrowd,www.medcrowd.com,medCrowd is a place for the healthcare community to find expert opinion to help them understand complex medical problems. Launch into public beta is expected in September 2010.   ,,true,,,"undergrad-edu: 
last-name: Jackson
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Medical Director
first-name: Felix
email: 

undergrad-edu: 
last-name: Jackson
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Medical Director
first-name: Felix
email: 
",,"Professional Knowledge Exchanges, Stealth/Not Launched, "
