name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
bestNET,besthelp.at,"Austrian Online Platform offering experts in therapy, medicine, coaching and law. bestHELP is a directory with detailed information on expert......s key activities and contact information. Note: German only.",,true,,,"undergrad-edu: 
last-name: Wolflehner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Public Relations
first-name: Thomas
email: 

undergrad-edu: 
last-name: Wolflehner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Public Relations
first-name: Thomas
email: 
",,"Provider Search, "
DocAsap.com,www.docasap.com,"DocAsap.com is an online platform that lets patients book appointments with the doctors and dentists of their choice at the click of a button. In matching demand and supply for doctor appointments, DocAsap also generates new patients and higher utilization for practices. ",,true,,,"undergrad-edu: 
last-name: de Baca
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Marketing Officer
first-name: Vicente
email: 
",,"Provider Search, "
Instera,www.instera.com,"Instera will operate an open, synergistic and complete electronics-enabled medical solution for independent medical practices and patients that delivers secure communications and integrates across networks, applications, data sources and emerging technologies. ",,true,,,"undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Robert
email: 
",,"Patient/Consumer Communities, Search, Provider Search, Personal health assessments , Self Management tools , B2B--Administrative Tools, Data Utility Layer, "
MyHealthBazaar,under construction ,MyHealthBazaar is a healthcare marketplace for urgent care services providing you a list of providers based on ratings.  ,,false,,,"undergrad-edu: 
last-name: Anand
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Sanjay
email: 

undergrad-edu: 
last-name: Anand
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Sanjay
email: 
",,"Provider Search, "
Planet MEDIX,www.onmedix.com,The goal of planetMEDIX is to be the central directory for medical tourism. The portal has been created in eight languages and will enable patients all over the world to find the best possible treatments in their own native language.,,true,,,"undergrad-edu: 
last-name: Ehret
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Dipl-oec
first-name: Julius
email: 
",,"Content, Provider Search, "
PharmaStats,www.pharmastats.com,"PharmaStats database has been providing innovative pharmaceutical companies with unique insight into the prescribing behavior of group practices, hospitals, and health systems for over five years. The focus of PharmaStats is in two areas. First, a health care provider search and rating service for consumers. The second focus is for sales people to gain a better understanding of relationships through the viewing of affiliations between health care provider and health care organizations (hospitals, group practices, etc.)",,true,,,"undergrad-edu: 
last-name: Schott
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Jeffrey
email: 

undergrad-edu: 
last-name: Schott
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Jeffrey
email: 
",,"Provider Search, B2B Decision Support Analytics, "
RevaHealth,www.revahealth.com,"RevaHealth.com is a healthcare search engine. We gather the information you want about health clinics in the UK and Ireland, and further afield, and display it all comparably.",,true,,,"undergrad-edu: 
last-name: King
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Caelen
email: 
",,"Provider Search, "
ADAM,www.adam.com,"A technology solution provider, ADAM also has one of the world’s largest continually-enhanced online consumer health information libraries and a host of other products and tools that help hospitals and other healthcare organizations attract and retain web site visitors.",,true,,,"undergrad-edu: 
last-name: Greene
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Medical Officer
first-name: Alan
email: 

undergrad-edu: 
last-name: Leach
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Rick
email: 

undergrad-edu: 
last-name: Leach
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Rick
email: 
",,"Content, Provider Search, "
Benefits Information Group,www.healthcare311.com,"Owns healthcare311.com, a web service helping people find where retail care is, and to arrange appointments.",,true,,,"undergrad-edu: 
last-name: Judd
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Greg
email: 

undergrad-edu: 
last-name: Judd
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Greg
email: 
",,"Provider Search, "
Best Doctors,www.bestdoctors.com,"The Best Doctors expert medical consultation service, helps members and their physicians to obtain the right diagnosis and treatment at the point of care. ",,true,,,"undergrad-edu: 
last-name: Falchuk
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President and COO
first-name: Evan 
email: 
",,"Provider Search, "
