name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
CureHunter,www.curehunter.com,"CureHunter  is the only fully integrated scientific search, data retrieval and analysis engine on the web that can read the entire US National Library of Medicine Medline Archive and automatically extract and quantify the evidence for successful clinical outcomes of all known drugs for all known human diseases.For patients we provide low-cost Summary PDF Reports with all drug evidence for all known cures or symptom improvement.For medical professionals CureHunter on-line access delivers decision support in 10-20 seconds of real clinical time to make an evidence check as SOP as a BP or Temp.For pharma research scientists we offer powerful data export functions that deliver over 1.5 million specific clinical outcome data points to new drug discovery software",,true,,,"undergrad-edu: 
last-name: Schonfeld
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CureHunter
first-name: Alex
email: 

undergrad-edu: 
last-name: Schonfeld
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CureHunter
first-name: Alex
email: 
",,"Search, "
HealthAngle,www.healthangle.com,"HealthAngle -- www.healthangle.com -- is an online community for patients, families and healthcare providers aimed at making surgery and medical procedures less stressful by allowing patients the opportunity to share their experiences with, and learn from, others.   ",,true,,,"undergrad-edu: 
last-name: Wilan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and President
first-name: Ken
email: 

undergrad-edu: 
last-name: Wilan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and President
first-name: Ken
email: 

undergrad-edu: 
last-name: Wilan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and President
first-name: Ken
email: 

undergrad-edu: 
last-name: Wilan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and President
first-name: Ken
email: 

undergrad-edu: 
last-name: Wilan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and President
first-name: Ken
email: 

undergrad-edu: 
last-name: Wilan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and President
first-name: Ken
email: 
",,"Patient/Consumer Communities, Search, "
HealthSphere,www.HealthSphere.net,HealthSphere™ is a search tool to help you quickly and easily find the most relevant and reliable health information available. These exclusive tools give you access to personalized health information that can be used for prevention as well as a roadmap to better health.,,true,,,"undergrad-edu: 
last-name: Bailey
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder & CEO
first-name: Steve
email: 

undergrad-edu: 
last-name: Bailey
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder & CEO
first-name: Steve
email: 

undergrad-edu: 
last-name: Bailey
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder & CEO
first-name: Steve
email: 
",,"Search, Content, "
Instera,www.instera.com,"Instera will operate an open, synergistic and complete electronics-enabled medical solution for independent medical practices and patients that delivers secure communications and integrates across networks, applications, data sources and emerging technologies. ",,true,,,"undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Robert
email: 
",,"Patient/Consumer Communities, Search, Provider Search, Personal health assessments , Self Management tools , B2B--Administrative Tools, Data Utility Layer, "
NextBio,www.nextbio.com,"NextBio is the developer of an innovative global discovery platform for life sciences data.The platform is offered in three product versions: NextBio Basic, NextBio Professional. ",,true,,,"undergrad-edu: 
last-name: Akhtari
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder, President & CEO
first-name: Saeid
email: 

undergrad-edu: 
last-name: Akhtari
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder, President & CEO
first-name: Saeid
email: 
",,"Other, Search, "
MediGO,www.medigo.nl,A dutch vertical health search engine that is one of the first in the Netherlands. Visitors have the option to influence the search results by rating the resulting websites. ,,true,,,"undergrad-edu: 
last-name: Martens
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: MSc MSc
first-name: Jan
email: 

undergrad-edu: 
last-name: Martens
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: MSc MSc
first-name: Jan
email: 
",,"Search, "
Health Butler,www.healthbutler.com,"Health Butler is an online preventative healthcare information organization offering healthy living e-mail reminders, personal health information storage, and a variety of health tools to users registered with the site. They also offer tools and programs for employers.",,true,,,"undergrad-edu: 
last-name: Reicher
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Joshua
email: 

undergrad-edu: 
last-name: Reicher
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Joshua
email: 
",,"Search, Wellness, Content, Self Management tools , "
WebLib,www.weblib.com,HealthMash™ is a medical knowledge base that combines WebLib......s sophisticated Web 2.0 universal search and discovery technology with Semantic Web Concepts in a simple yet highly informative user interface.,,true,,,"undergrad-edu: 
last-name: Vincent
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Product Development
first-name: Adam
email: 

undergrad-edu: 
last-name: Vincent
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Product Development
first-name: Adam
email: 
",,"Search, "
HealthyWage,www.healthywage.com,HealthyWage is a provider of health and wellness incentive programs for corporations to reward employees who make healthy choices.,,true,,,"undergrad-edu: 
last-name: Roddenberry
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder
first-name: David
email: 

undergrad-edu: 
last-name: Roddenberry
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder
first-name: David
email: 
",," Financial management , Wellness, Patient/Consumer Communities, Search, Content, Provider Search, Gaming, "
First Life Research,www.firstliferesearch.com,"FLR aggregates medical content written by patients on health forums, blogs or any other user content web platform and extracts statistics and relations between medications,side effects, symptoms, signs, conditions and procedures.",,true,,,"undergrad-edu: 
last-name: Mantel
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chairman & Founder
first-name: Gideon
email: 

undergrad-edu: 
last-name: Mantel
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chairman & Founder
first-name: Gideon
email: 
",,"Search, Content, "
GiveForward,www.giveforward.org,"GiveForward provides personal fundraising pages to raise money for loved ones' medical expenses like cancer treatments and organ transplants.    Basically, we make it VERY easy for people from all around the world to contribute online to their friends and family members' health.  Here is an example of a recent page that raised over $80,000 for a cancer treatment in just over 3 weeks time.  http:www.giveforward.org/johan  Here are some user testimonials from our users  http:www.giveforward.org/blog/testimonials-from-some-of-our-loving-users  The Chicago Tribune has called us ""the future of medical fundraising in the Internet Age.""  In little over a year, we have helped people raise $1,000,000 to pay for life-saving medical procedures and cancer treatments. I lost my dad to colon cancer when I was 13.  It's something I have been passionate ever since.   I run marathons in a banana costume to fight cancer.    http:www.youthnoise.com/playcity/blog/view/19384  I failed the CA bar the first time I took it.  For a year, I was the top rated author at a humor website called Guidespot  http:www.guidespot.com/authors/elguapo  I am a burrito eating champion.  My favorite ""sporting event"" in the world is Bay to Breakers.  I'm deathly afraid of pigeons.  I would be a super-interesting speaker at your event ",,false,,,"undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: co-founder and second banana
first-name: Ethan
email: 

undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: co-founder and second banana
first-name: Ethan
email: 

undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder and 2nd Banana
first-name: Ethan
email: 

undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: co-founder and second banana
first-name: Ethan
email: 

undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder and 2nd Banana
first-name: Ethan
email: 
",,"Patient/Consumer Communities, Search,  Financial management , "
Insidermedicine,www.insidermedicine.com,"The Insidermedicine Project is a physician-led news and knowledge-translation initiative that allows patients, doctors and medical students to keep up on the latest medical information by watching their unique videos that are created each and every weekday by their team of medical experts. Their goal is to reach patients, medical doctors and students around the world to ensure that each is receiving a daily .....evidence based"" health and medical update.",,true,,,"undergrad-edu: 
last-name: sharma
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: editor-in-chief
first-name: sanjay
email: 

undergrad-edu: 
last-name: sharma
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: editor-in-chief
first-name: sanjay
email: 

undergrad-edu: 
last-name: sharma
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: editor-in-chief
first-name: sanjay
email: 
",,"Search, Content, "
Healthline Networks,www.healthline.com,"Healthline Networks powers intelligenthealth search, advertising and content services to a growing network of publishers,advertisers, destination sites and health plans. ",,true,,,"undergrad-edu: 
last-name: Shell
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: West 
email: 

undergrad-edu: 
last-name: Stephens
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President and COO
first-name: Dean
email: 
",,"Search, Content, Provider Search, Self Management tools , Personal health assessments , B2B Decision Support Analytics, B2B--Administrative Tools, Professional Knowledge Exchanges, Wellness, "
