name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
AdhereTx,http:www.adheretx.com,"AdhereTx provides software as a service for medication therapy management in older adults. It uses. The program captures patient self-reported information about observations of daily living, medications (including Rx, OTC and supplements) and symptoms and conditions as structured data, along with biometric data such as blood pressure, weight or blood glucose. It uses a rules-based framework to generate a SmartList of medications and potential risks for the patient as well as tailored content and education.",,true,,,"undergrad-edu: 
last-name: Biernacki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CTO, Co-Founder
first-name: Anne 
email: 

undergrad-edu: 
last-name: Meisner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Patricia
email: 

undergrad-edu: 
last-name: Meisner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Patricia
email: 

undergrad-edu: 
last-name: Biernacki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CTO, Co-Founder
first-name: Anne 
email: 

undergrad-edu: 
last-name: Biernacki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder, CTO
first-name: Anne Marie
email: 
",,"Self Management tools , Patient-provider communication, "
Dr J Says,www.doctorjsays.com,"Dr. J Says is an automated nutritional adviser delivered via a cloud-based application that advises dining hall patrons on what to eat from the day’s menu based on their personal health profile and dietary goals, by translating complex medical advice into real life recommendations.   It functions as an intelligent patient-driven electronic medical record linked to a nutritional search engine. The patient data from the electronic medical record along with the latest nutritional guidelines sets the constraints for the search query which is executed on a database of existing menu items. The result returns personalized meal combinations that match the user’s dietary requirements and taste preferences. Owned by Usable Health",,true,,,"undergrad-edu: 
last-name: Chhabra
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Jiten 
email: 

undergrad-edu: 
last-name: Chhabra
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Jiten 
email: 
",,"Self Management tools , Wellness, "
Healthji,www.healthji.com,Healthji is a Health 2.0 Portal which focuses on the Global Indian Community. The B2B model focuses on Corporate Wellness and Prevention while the B2C model gives a wealth of Health related content including various assessments and tools.,,false,,,"undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Avinash
email: 
",,"Personal health assessments , Self Management tools , Wellness, B2B Decision Support Analytics, B2B--Administrative Tools, Professional Knowledge Exchanges, Personal health assessments , Self Management tools , Wellness, B2B--Administrative Tools, Content, Content, Personal health assessments , Self Management tools , Wellness, Content, Wellness, Personal health assessments , Self Management tools , "
Healthji,www.healthji.com,Healthji is a Health 2.0 Portal which focuses on the Global Indian Community. The B2B model focuses on Corporate Wellness and Prevention while the B2C model gives a wealth of Health related content including various assessments and tools.,,false,,,"undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Avinash
email: 
",,"Personal health assessments , Self Management tools , Wellness, B2B Decision Support Analytics, B2B--Administrative Tools, Professional Knowledge Exchanges, Personal health assessments , Self Management tools , Wellness, B2B--Administrative Tools, Content, Content, Personal health assessments , Self Management tools , Wellness, Content, Wellness, Personal health assessments , Self Management tools , "
Healthji,www.healthji.com,Healthji is a Health 2.0 Portal which focuses on the Global Indian Community. The B2B model focuses on Corporate Wellness and Prevention while the B2C model gives a wealth of Health related content including various assessments and tools.,,false,,,"undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Avinash
email: 
",,"Personal health assessments , Self Management tools , Wellness, B2B Decision Support Analytics, B2B--Administrative Tools, Professional Knowledge Exchanges, Personal health assessments , Self Management tools , Wellness, B2B--Administrative Tools, Content, Content, Personal health assessments , Self Management tools , Wellness, Content, Wellness, Personal health assessments , Self Management tools , "
Healthji,www.healthji.com,Healthji is a Health 2.0 Portal which focuses on the Global Indian Community. The B2B model focuses on Corporate Wellness and Prevention while the B2C model gives a wealth of Health related content including various assessments and tools.,,false,,,"undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Avinash
email: 
",,"Personal health assessments , Self Management tools , Wellness, B2B Decision Support Analytics, B2B--Administrative Tools, Professional Knowledge Exchanges, Personal health assessments , Self Management tools , Wellness, B2B--Administrative Tools, Content, Content, Personal health assessments , Self Management tools , Wellness, Content, Wellness, Personal health assessments , Self Management tools , "
Healarium,http:www.healarium.com/,"Healarium’s Personal Health Assistant (PHA™) is personalized, self-managed software with easy-to-use Web and mobile interfaces. The PHA™ promotes consumer success in managing well-being as well as chronic or at-risk conditions. Using the PHA, the consumer’s trusted caregivers can provide assistance and supervision based on a comprehensive, ongoing process of assessment, goal setting, monitoring and feedback.",,true,,,"undergrad-edu: 
last-name: weinstein
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP R&D
first-name: amir
email: 

undergrad-edu: 
last-name: Keynan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO and Co-founder
first-name: Amnon
email: 

undergrad-edu: 
last-name: weinstein
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP R&D
first-name: amir
email: 

undergrad-edu: 
last-name: Keynan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO and Co-founder
first-name: Amnon
email: 

undergrad-edu: 
last-name: weinstein
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP R&D
first-name: amir
email: 

undergrad-edu: 
last-name: Keynan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO and Co-founder
first-name: Amnon
email: 

undergrad-edu: 
last-name: weinstein
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP R&D
first-name: amir
email: 

undergrad-edu: 
last-name: Keynan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO and Co-founder
first-name: Amnon
email: 

undergrad-edu: 
last-name: weinstein
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP R&D
first-name: amir
email: 

undergrad-edu: 
last-name: Keynan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO and Co-founder
first-name: Amnon
email: 

undergrad-edu: 
last-name: weinstein
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP R&D
first-name: amir
email: 

undergrad-edu: 
last-name: Keynan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO and Co-founder
first-name: Amnon
email: 
",,"Self Management tools , Personal health assessments , Wellness, "
HealthAlly,www.health-ally.com,"HealthAlly is a health and wellness based online community that provides its Members with what they need to maintain and improve their physical, mental and financial health. Its platform offers the information and tools with incentives and healthy rewards for achieving quantifiable goals that affect members...... short and long term wellness.HealthAlly’s Wellness eXchange delivers daily health, fitness, diet, wellness information and ongoing financial rewards using the latest mobile and web technologies in ways that fit its Members’ busy lifestyles.",,false,,,"undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 

undergrad-edu: 
last-name: Nodvin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name:  Neal
email: 
",,"Content, Personal health assessments , Self Management tools , Wellness, Coaching and Advisory Services, B2B Decision Support Analytics, "
Instera,www.instera.com,"Instera will operate an open, synergistic and complete electronics-enabled medical solution for independent medical practices and patients that delivers secure communications and integrates across networks, applications, data sources and emerging technologies. ",,true,,,"undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development & Strategy
first-name: Robert
email: 

undergrad-edu: 
last-name: Karlovich
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Robert
email: 
",,"Patient/Consumer Communities, Search, Provider Search, Personal health assessments , Self Management tools , B2B--Administrative Tools, Data Utility Layer, "
IPGDx,www.ipgdx.com,IPGDx is a BioTechnology Firm providing medical measurement tools. PrognostiCheck® device provides a reliable and objective prognosis measurement and EFresh® device measures Food freshness and quality.,,false,,,"undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO
first-name: John
email: 

undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO
first-name: John
email: 

undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO
first-name: John
email: 

undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO
first-name: John
email: 

undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO
first-name: John
email: 

undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: John
email: 

undergrad-edu: 
last-name: Kutzko
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: COO
first-name: John
email: 
",,"Patient/Consumer Communities, Personal health assessments , Self Management tools , Wellness, "
