name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Emergence Medicine,www.emergencemedicine.com,"EMERGENCE MEDICINE (EM) is dedicated to the future professionalism of Medicine, embracing the consumer/patient-centered philosophy. This begins with open, honest, interactive communication, and clear expectations, documented on an on-line personal health record controlled by the healthcare consumer patient. Though we focus on episodic and acute care, our aim is to transition to a continous healing relationship through an engaged patient/physician interaction, and enabling technology.",,false,,,"undergrad-edu: 
last-name: Ybarra
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President and Founder
first-name: Richard
email: 

undergrad-edu: 
last-name: Ybarra
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President and Founder
first-name: Richard
email: 

undergrad-edu: 
last-name: Ybarra
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President and Founder
first-name: Richard
email: 

undergrad-edu: 
last-name: Ybarra
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President and Founder
first-name: Richard
email: 
",,"Out of business, Stealth/Not Launched, "
iAccessCare,www.iaccesscare.com,iAccessCare provides consumers with on-demand access to high quality healthcare practitioners who can solve common primary care complaints in real time. ,,true,,,"undergrad-edu: 
last-name: Kreiner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Thane
email: 

undergrad-edu: 
last-name: Kreiner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Thane
email: 

undergrad-edu: 
last-name: Kreiner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Thane
email: 

undergrad-edu: 
last-name: Kreiner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Thane
email: 

undergrad-edu: 
last-name: Kreiner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Thane
email: 

undergrad-edu: 
last-name: Kreiner
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Thane
email: 
",,"Stealth/Not Launched, Out of business, "
inforMediq,www.inforMediq.com,"inforMediq is developing patient-centered medical home healthcare IT systems to help patients and caregivers manage complex chronic condition and disease treatment regimens. Our goal is to increase treatment compliance and identify opportunities to improve efficacy of treatments in order to mitigate risk factors, minimize the requirement for interventions due to avoidable complications, and provide better overall health outcomes for patients.",,false,,,"undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ram
email: 

undergrad-edu: 
last-name: Singh
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ram
email: 
",,"Stealth/Not Launched, "
Integral Health Network,,"Integral Health Network is a web-based health and wellness services, products, learning tools and community focused on the rapidly growing integrative/alternative health space. ",,true,,,"undergrad-edu: 
last-name: Corr
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ken
email: 

undergrad-edu: 
last-name: Corr
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ken
email: 

undergrad-edu: 
last-name: Corr
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ken
email: 

undergrad-edu: 
last-name: Corr
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ken
email: 

undergrad-edu: 
last-name: Corr
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ken
email: 

undergrad-edu: 
last-name: Corr
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ken
email: 
",,"Stealth/Not Launched, "
itzsocialcom,columbiaupandrun.ning.com,"We are focused on providing social networks as third party solutions to local news and information providers--newspapers and radio stations--in the U.S.  Our first two verticals will be ""health and fitness"" focused on exercise, weight loss, and cardiac health....we will also be developing for clients ""Moms"" sites (see IndyMoms.com for example).  These are focused on pregnancy to Age 14 parents.  Most local news business have neither the skills nor resources to leverage their extensive local area user audience in social networking...by providing a third party ""customized"" social network, media enterprises in smaller and mid-sized markets we will provide the technology, skills, and partnership (selling) experience to allow them to play in this space.",,false,,,"undergrad-edu: 
last-name: Harmon
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Audience Development
first-name: Greg
email: 

undergrad-edu: 
last-name: Harmon
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Audience Development
first-name: Greg
email: 

undergrad-edu: 
last-name: Harmon
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Audience Development
first-name: Greg
email: 

undergrad-edu: 
last-name: Harmon
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Audience Development
first-name: Greg
email: 

undergrad-edu: 
last-name: Harmon
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Audience Development
first-name: Greg
email: 

undergrad-edu: 
last-name: Harmon
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Audience Development
first-name: Greg
email: 
",,"Stealth/Not Launched, "
Koronis Health Ventures,No website,"Allowing seniors to remain at home through technology, remaining connected to their community, activities, resources and education.",,false,,,"undergrad-edu: 
last-name: Slager
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Richard
email: 

undergrad-edu: 
last-name: Slager
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Richard
email: 

undergrad-edu: 
last-name: Slager
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Richard
email: 

undergrad-edu: 
last-name: Slager
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Richard
email: 

undergrad-edu: 
last-name: Slager
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Richard
email: 

undergrad-edu: 
last-name: Slager
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Richard
email: 
",,"Stealth/Not Launched, "
MediMin,medimin.net,Arizona leader in retail health care clinics. ,,false,,,"undergrad-edu: 
last-name: Holland
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Medical Director
first-name: Joshua
email: 

undergrad-edu: 
last-name: Holland
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Medical Director
first-name: Joshua
email: 
",,"Stealth/Not Launched, "
Middle Earth Health Solutions,,The mission of Middle Earth Health Solutions is to provide an understanding of data by conceptualizing it. Utilizing GIS we analyze and visualize the data so decision makers are able to take appropriate actions. ,,false,,,"undergrad-edu: 
last-name: Adam
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Partner
first-name: Atif 
email: 

undergrad-edu: 
last-name: Adam
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Partner
first-name: Atif 
email: 
",,"Stealth/Not Launched, "
Serendica,www.serendica.com,"Serendica is a collaborative intelligence network. Physicians  notify any unexpected improvement in a disease while the medicines taken by the patient are not intended to cure that disease, with the goal of finding new cures. Based in France.",,true,,,"undergrad-edu: 
last-name: GHALEB
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Dr
first-name: Jean-Claude
email: 

undergrad-edu: 
last-name: GHALEB
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Dr
first-name: Jean-Claude
email: 
",,"Professional Knowledge Exchanges, Stealth/Not Launched, "
Suture Health,www.suturemd.com,"Early-stage startup focused on building a network of physicians and healthcare providers to connect them with each other, their patients, and all major healthcare stakeholders, including hospitals, payers, government agencies, and health-related companies. ",,true,,,"undergrad-edu: 
last-name: Blackstone
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Michael
email: 

undergrad-edu: 
last-name: Blackstone
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Michael
email: 
",,"Stealth/Not Launched, "
